checklist_scientificName	english_name	entry_into_force	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Alternanthera philoxeroides	alligator weed	2017-08-02	Plantae	3084923	ACCEPTED
Asclepias syriaca	common milkweed	2017-08-02	Plantae	3170247	ACCEPTED
Baccharis halimifolia	eastern baccharis	2016-08-03	Plantae	3129663	ACCEPTED
Cabomba caroliniana	fanwort	2016-08-03	Plantae	2882443	ACCEPTED
Eichhornia crassipes	water hyacinth	2016-08-03	Plantae	2765940	ACCEPTED
Elodea nuttallii	Nuttall's waterweed	2017-08-02	Plantae	5329212	ACCEPTED
Gunnera tinctoria	Chilean rhubarb	2017-08-02	Plantae	2984306	ACCEPTED
Heracleum mantegazzianum	giant hogweed	2017-08-02	Plantae	3034825	ACCEPTED
Heracleum persicum	Persian hogweed	2016-08-03	Plantae	3628745	ACCEPTED
Heracleum sosnowskyi	Sosnowsky's hogweed	2016-08-03	Plantae	3642949	ACCEPTED
Hydrocotyle ranunculoides	floating pennywort	2016-08-03	Plantae	7978544	ACCEPTED
Impatiens glandulifera	Indian balsam	2017-08-02	Plantae	2891770	ACCEPTED
Lagarosiphon major	curly waterweed	2016-08-03	Plantae	2865565	ACCEPTED
Ludwigia grandiflora	water-primrose	2016-08-03	Plantae	5421039	ACCEPTED
Ludwigia peploides	floating primrose-willow	2016-08-03	Plantae	5420991	ACCEPTED
Lysichiton americanus	American skunk cabbage	2016-08-03	Plantae	2869311	ACCEPTED
Microstegium vimineum	Japanese stiltgrass	2017-08-02	Plantae	5289808	ACCEPTED
Myriophyllum aquaticum	parrot's feather	2016-08-03	Plantae	5361785	ACCEPTED
Myriophyllum heterophyllum	broadleaf watermilfoil	2017-08-02	Plantae	5361762	ACCEPTED
Parthenium hysterophorus	whitetop weed	2016-08-03	Plantae	3086784	ACCEPTED
Pennisetum setaceum	crimson fountaingrass	2017-08-02	Plantae	2706134	SYNONYM
Persicaria perfoliata	Asiatic tearthumb	2016-08-03	Plantae	4033648	ACCEPTED
Pueraria lobata	kudzu vine	2016-08-03	Plantae	9035634	ACCEPTED
Alopochen aegyptiacus	Egyptian goose	2017-08-02	Animalia	2498252	ACCEPTED
Callosciurus erythraeus	Pallas' squirrel	2016-08-03	Animalia	2437394	ACCEPTED
Corvus splendens	Indian house crow	2016-08-03	Animalia	2482499	ACCEPTED
Eriocheir sinensis	Chinese mittencrab	2016-08-03	Animalia	2225776	ACCEPTED
Herpestes javanicus	small Asian mongoose	2016-08-03	Animalia	8858565	ACCEPTED
Lithobates catesbeianus	American bullfrog	2016-08-03	Animalia	2427091	ACCEPTED
Muntiacus reevesi	muntjac deer	2016-08-03	Animalia	2440946	ACCEPTED
Myocastor coypus	coypu	2016-08-03	Animalia	4264680	ACCEPTED
Nasua nasua	coati	2016-08-03	Animalia	2433536	ACCEPTED
Nyctereutes procyonoides	racoon dog	2019-02-02	Animalia	2434552	ACCEPTED
Ondatra zibethicus	muskrat	2017-08-02	Animalia	5219858	ACCEPTED
Orconectes limosus	spiny-cheek crayfish	2016-08-03	Animalia	2227000	ACCEPTED
Faxonius virilis	virile crayfish	2016-08-03	Animalia	8971201	ACCEPTED
Oxyura jamaicensis	ruddy duck	2016-08-03	Animalia	2498305	ACCEPTED
Pacifastacus leniusculus	signal crayfish	2016-08-03	Animalia	2226990	ACCEPTED
Percottus glenii	Amur sleeper	2016-08-03	Animalia	2390064	ACCEPTED
Procambarus clarkii	red swamp crayfish	2016-08-03	Animalia	2227300	ACCEPTED
Procambarus virginalis	marbled crayfish	2016-08-03	Animalia	9442269	ACCEPTED
Procyon lotor	raccoon	2016-08-03	Animalia	5218786	ACCEPTED
