taxonKey	nubKey	taxonID	scientificName	taxonomicStatus	acceptedKey	acceptedName	acceptedTaxonRank	acceptedClassKey	acceptedClass	acceptedKingdom
152543101	5740285	https://www.gbif.org/species/5740285	Gyrodactylus proterorhini Ergens, 1967	ACCEPTED	5740285	Gyrodactylus proterorhini Ergens, 1967	SPECIES	7774442	Monogenea	Animalia
152543102	3202936	https://www.gbif.org/species/3202936	Aphanomyces astaci Schikora	ACCEPTED	3202936	Aphanomyces astaci Schikora	SPECIES	8179345	Peronosporea	Chromista
152543110	5179027	https://www.gbif.org/species/5179027	Scutigera coleoptrata Linnaeus, 1758	ACCEPTED	5179027	Scutigera coleoptrata Linnaeus, 1758	SPECIES	360	Chilopoda	Animalia
152543115	5250069	https://www.gbif.org/species/5250069	Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek	ACCEPTED	5250069	Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek	SPECIES	148	Ustilaginomycetes	Fungi
152543120	4985072	https://www.gbif.org/species/4985072	Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985	ACCEPTED	4985072	Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985	SPECIES	252	Gymnolaemata	Animalia
152543121	5250090	https://www.gbif.org/species/5250090	Urocystis trollii Nannf.	ACCEPTED	5250090	Urocystis trollii Nannf.	SPECIES	148	Ustilaginomycetes	Fungi
152543128	2557730	https://www.gbif.org/species/2557730	Sporisorium destruens (Schltdl.) Vánky	ACCEPTED	2557730	Sporisorium destruens (Schltdl.) Vánky	SPECIES	148	Ustilaginomycetes	Fungi
152543132	6157050	https://www.gbif.org/species/6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	ACCEPTED	6157050	Graptemys pseudogeographica kohnii (Baur, 1890)	SUBSPECIES	11418114	Testudines	Animalia
152543136	7190901	https://www.gbif.org/species/7190901	Graptemys pseudogeographica pseudogeographica	ACCEPTED	7190901	Graptemys pseudogeographica pseudogeographica	SUBSPECIES	11418114	Testudines	Animalia
152543139	6157035	https://www.gbif.org/species/6157035	Trachemys scripta troostii (Holbrook, 1836)	ACCEPTED	6157035	Trachemys scripta troostii (Holbrook, 1836)	SUBSPECIES	11418114	Testudines	Animalia
152543140	6157026	https://www.gbif.org/species/6157026	Trachemys scripta elegans (Wied, 1838)	ACCEPTED	6157026	Trachemys scripta elegans (Wied, 1838)	SUBSPECIES	11418114	Testudines	Animalia
152543141	7062200	https://www.gbif.org/species/7062200	Trachemys scripta scripta	ACCEPTED	7062200	Trachemys scripta scripta	SUBSPECIES	11418114	Testudines	Animalia
152543142	2537743	https://www.gbif.org/species/2537743	Lentinula edodes (Berk.) Pegler	ACCEPTED	2537743	Lentinula edodes (Berk.) Pegler	SPECIES	186	Agaricomycetes	Fungi
