taxonKey	taxonName	class	classKey	kingdom	year	obs	ncells	cobs	c_ncells	fit	ucl	lcl	em1	em2	em	em_status	growth	method
1031684	Lepinotus patruelis	Insecta	216	Animalia	2019	1	1	7280	1395									correct_baseline
1031684	Lepinotus patruelis	Insecta	216	Animalia	2020	0	0	0	0									correct_baseline
1031684	Lepinotus patruelis	Insecta	216	Animalia	2021	2	2	11757	1735									correct_baseline
1031684	Lepinotus patruelis	Insecta	216	Animalia	2022	0	0	0	0									correct_baseline
1031684	Lepinotus patruelis	Insecta	216	Animalia	2023	2	2	14696	2028									correct_baseline
1031684	Lepinotus patruelis	Insecta	216	Animalia	2024	1	1	15531	2039									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2004	2	2	4591	1338	1.4226837995227761	6.857518654754334	0.2951547484338666	0	1	1	2	0.5041925458986677	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2005	0	0	0	0	1.1026286247061834	3.6623246924159476	0.33197217235794085	0	1	1	2	0.5995034953869889	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2006	1	1	5904	1484	0.9433611690123491	2.5052893414042767	0.35522056494341614	0	1	1	2	0.7093044142661425	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2007	0	0	0	0	0.8898530327307708	2.1127484217573036	0.374790681041678	0	1	1	2	0.8296537716146397	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2008	0	0	0	0	0.9224710294798887	2.066882298882585	0.4117083980494365	0	1	1	2	0.9501792511648216	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2009	1	1	6005	1689	1.0447233840212133	2.2330962143305286	0.48875948206644826	1	1	4	3	1.056735671924879	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2010	3	3	8610	2113	1.2810592345988305	2.6013988915307267	0.6308577926644964	1	1	4	3	1.1435927588247718	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2011	1	1	9122	2213	1.6807918748788617	3.241185900018346	0.8716134815478522	1	1	4	3	1.2164191937498015	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2012	2	2	4031	1202	2.3263753362369393	4.293298813892571	1.2605743135182939	1	1	4	3	1.2794007817089712	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2013	3	3	5128	1306	3.3438609636488	5.964048675618441	1.8748012889171843	1	0	3	3	1.3295612248601796	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2014	2	2	6714	1681	4.910747461076801	8.497781533187819	2.8378513300548094	1	0	3	3	1.3583143399904278	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2015	7	7	5258	1470	7.252179032319804	12.132731391271406	4.334893687225	1	0	3	3	1.3570572193151464	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2016	13	9	6748	1530	10.61299354737503	17.09217731589339	6.589893724767779	1	0	3	3	1.326581733580124	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2017	28	19	7603	1418	15.195501115138395	23.692631226049837	9.745783485892277	1	0	3	3	1.277329236218745	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2018	26	21	5785	1118	21.06604471651629	32.5680626530284	13.626178650113793	1	0	3	3	1.2190978221515887	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2019	29	22	7252	1374	28.055758261606794	44.75348471160456	17.58802865756768	1	0	3	3	1.1554805343196541	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2020	57	52	13627	1513	35.699710628893676	61.45527605099725	20.73815986001194	1	0	3	3	1.0850533192365537	correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2021	55	47	11704	1690	43.25632244365397	84.17199619953098	22.22959554046775	0	0	0	1	1.0063843112943849	correct_baseline
