taxonKey	taxonName	class	classKey	kingdom	year	obs	ncells	cobs	c_ncells	fit	ucl	lcl	em1	em2	em	em_status	growth	method
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2017	2	2	1516	66									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2018	1	1	1485	67									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2019	3	2	658	44									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2020	5	4	438	52									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2021	4	4	807	52									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2022	1	1	1672	60									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2023	8	7	1990	54									correct_baseline
1047536	Leptinotarsa decemlineata	Insecta	216	Animalia	2024	9	8	2777	60									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2018	6	2	1480	66									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2019	12	6	649	40									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2020	31	12	412	44									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2021	31	17	780	39									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2022	229	48	1444	13									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2023	546	50	1452	11									correct_baseline
1311477	Vespa velutina	Insecta	216	Animalia	2024	581	53	2205	15									correct_baseline
1421091	Lepisma saccharinum	Insecta	216	Animalia	2020	2	2	441	54									correct_baseline
1421091	Lepisma saccharinum	Insecta	216	Animalia	2021	1	1	810	55									correct_baseline
1421091	Lepisma saccharinum	Insecta	216	Animalia	2022	3	1	1670	60									correct_baseline
1421091	Lepisma saccharinum	Insecta	216	Animalia	2023	4	4	1994	57									correct_baseline
1421091	Lepisma saccharinum	Insecta	216	Animalia	2024	1	1	2785	67									correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2001	1	1	38	14	0.847775094820178	4.7527233168650715	0.15122332260474108	-1	0	-3	0	0.6366062848468861	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2002	0	0	0	0	0.6643416982350099	3.2546150475280053	0.1356074022791106	-1	0	-3	0	0.6566811288263741	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2003	0	0	0	0	0.528880621661076	2.381301063173486	0.11746297698109578	-1	0	-3	0	0.6773389199671028	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2004	2	2	255	51	0.42773922863430897	1.8538840911088066	0.09869055384322592	-1	0	-3	0	0.6985796356955571	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2005	9	6	675	57	0.35144372760975884	1.5233642229133197	0.08107889880729484	-1	0	-3	0	0.7203950157912415	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2006	14	8	1113	58	0.29335115592018535	1.3077003991895222	0.06580628157110255	-1	0	-3	0	0.7427634619163692	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2007	0	0	0	0	0.24875688607318003	1.1606089902824266	0.05331682667197587	-1	0	-3	0	0.7656411033411304	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2008	0	0	0	0	0.21429780963186404	1.0554353578335187	0.043511476920084835	-1	0	-3	0	0.7889454894512166	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2009	0	0	0	0	0.187549400683169	0.9765330928190192	0.03602005703163079	-1	0	-3	0	0.8125246141447304	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2010	0	0	0	0	0.16675120344048705	0.9145625671723483	0.030403566521229265	-1	0	-3	0	0.8360964241876863	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2011	0	0	0	0	0.15061826591649974	0.8638935985378465	0.026260018671384534	-1	0	-3	0	0.8591327342673177	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2012	2	2	761	66	0.13821071212639086	0.8211523512776564	0.02326267581985533	-1	0	-3	0	0.8806718660438831	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2013	0	0	0	0	0.12884310661834786	0.7843977809967799	0.021163428205994754	-1	0	-3	0	0.899214402762124	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2014	3	3	969	65	0.12202143268089022	0.7526522181788541	0.019782350564944286	0	0	0	1	0.913300843390571	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2015	0	0	0	0	0.11739957571009162	0.7256403543395941	0.01899378982230549	0	0	0	1	0.9227827780699084	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2016	0	0	0	0	0.1147499316414808	0.703662359377057	0.01871287647584499	0	0	0	1	0.9288429645906683	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2017	1	1	1517	67	0.11394463117720728	0.6875686666695722	0.018883028857318875	0	0	0	1	0.9327862887864989	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2018	1	1	1485	67	0.11494520029633194	0.6788324233989357	0.01946341779758981	0	0	0	1	0.9354781171071863	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2019	1	1	660	45	0.11779948033651959	0.6797411177732678	0.020414709666250818	0	0	0	1	0.9374124381728755	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2020	3	3	440	53	0.12264546063372296	0.6937602044929854	0.021681712091069033	0	0	0	1	0.9388673294855532	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2021	0	0	0	0	0.1297224558669822	0.7261696794918958	0.023173530968596357	0	0	0	1	0.9400044920932533	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2022	0	0	0	0	0.13939090239799598	0.7851588992917825	0.024746358589138377	0	0	0	1	0.94092219874048455	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2023	0	0	0	0	0.15216307781704524	0.8837255338424695	0.026199992377818365	0	0	0	1	0.9416828405072398	correct_baseline
1690429	Meconema meridionale	Insecta	216	Animalia	2024	3	3	2783	65	0.1687484244040136	1.0430461173638321	0.027300835758639966	0	0	0	1	0.9423276178518506	correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2015	1	1	1118	66									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2016	0	0	0	0									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2017	0	0	0	0									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2018	0	0	0	0									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2019	1	1	660	45									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2020	0	0	0	0									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2021	0	0	0	0									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2022	1	1	1672	60									correct_baseline
1749449	Cameraria ohridella	Insecta	216	Animalia	2023	1	1	1997	60									correct_baseline
