taxonKey	year	em_status	growth	method
1003567	2020			correct_baseline
1003567	2021			correct_baseline
1003567	2022			correct_baseline
1008955	2020			correct_baseline
1008955	2021			correct_baseline
1008955	2022			correct_baseline
1014565	2020			correct_baseline
1014565	2021			correct_baseline
1014565	2022			correct_baseline
1017419	2020			correct_baseline
1017419	2021			correct_baseline
1017419	2022			correct_baseline
1031394	2020			correct_baseline
1031394	2021			correct_baseline
1031394	2022			correct_baseline
1031400	2020			correct_baseline
1031400	2021			correct_baseline
1031400	2022			correct_baseline
1031684	2020			correct_baseline
1031684	2021			correct_baseline
1031684	2022			correct_baseline
1031742	2020			correct_baseline
1031742	2021			correct_baseline
1031742	2022			correct_baseline
1043717	2020			correct_baseline
1043717	2021			correct_baseline
1043717	2022			correct_baseline
1045323	2020			correct_baseline
1045323	2021			correct_baseline
1045323	2022			correct_baseline
1047536	2020	0	0.9571735126010807	correct_baseline
1047536	2021	0	0.9222768272040927	correct_baseline
1047536	2022	0	0.8880706147350024	correct_baseline
1095946	2020			correct_baseline
1095946	2021			correct_baseline
1095946	2022			correct_baseline
1111797	2020			correct_baseline
1111797	2021			correct_baseline
1111797	2022			correct_baseline
1119292	2020			correct_baseline
1119292	2021			correct_baseline
1119292	2022			correct_baseline
1133603	2020			correct_baseline
1133603	2021			correct_baseline
1133603	2022			correct_baseline
1152186	2020			correct_baseline
1152186	2021			correct_baseline
1152186	2022			correct_baseline
1276876	2020			correct_baseline
1276876	2021			correct_baseline
1276876	2022			correct_baseline
1309600	2020	1	0.9223338538398643	correct_baseline
1309600	2021	1	0.9038908794758463	correct_baseline
1309600	2022	1	0.8794371201430818	correct_baseline
1309606	2020			correct_baseline
1309606	2021			correct_baseline
1309606	2022			correct_baseline
1309635	2020			correct_baseline
1309635	2021			correct_baseline
1309635	2022			correct_baseline
1309652	2020			correct_baseline
1309652	2021			correct_baseline
1309652	2022			correct_baseline
1311477	2020			correct_baseline
1311477	2021			correct_baseline
1311477	2022			correct_baseline
1313740	2020			correct_baseline
1313740	2021			correct_baseline
1313740	2022			correct_baseline
1316908	2020			correct_baseline
1316908	2021			correct_baseline
1316908	2022			correct_baseline
1320777	2020			correct_baseline
1320777	2021			correct_baseline
1320777	2022			correct_baseline
1323402	2020			correct_baseline
1323402	2021			correct_baseline
1323402	2022			correct_baseline
1325561	2020			correct_baseline
1325561	2021			correct_baseline
1325561	2022			correct_baseline
1342324	2020			correct_baseline
1342324	2021			correct_baseline
1342324	2022			correct_baseline
1346919	2020			correct_baseline
1346919	2021			correct_baseline
1346919	2022			correct_baseline
1371011	2020			correct_baseline
1371011	2021			correct_baseline
1371011	2022			correct_baseline
1411953	2020			correct_baseline
1411953	2021			correct_baseline
1411953	2022			correct_baseline
1421091	2020	0	0.6316200937356117	correct_baseline
1421091	2021	0	0.560228289270521	correct_baseline
1421091	2022	0	0.49661006206213204	correct_baseline
1421095	2020			correct_baseline
1421095	2021			correct_baseline
1421095	2022			correct_baseline
1421105	2020			correct_baseline
1421105	2021			correct_baseline
1421105	2022			correct_baseline
1450317	2020			correct_baseline
1450317	2021			correct_baseline
1450317	2022			correct_baseline
1523628	2020			correct_baseline
1523628	2021			correct_baseline
1523628	2022			correct_baseline
1551754	2020			correct_baseline
1551754	2021			correct_baseline
1551754	2022			correct_baseline
1577153	2020			correct_baseline
1577153	2021			correct_baseline
1577153	2022			correct_baseline
1579447	2020			correct_baseline
1579447	2021			correct_baseline
1579447	2022			correct_baseline
1622599	2020			correct_baseline
1622599	2021			correct_baseline
1622599	2022			correct_baseline
1622658	2020			correct_baseline
1622658	2021			correct_baseline
1622658	2022			correct_baseline
1623354	2020			correct_baseline
1623354	2021			correct_baseline
1623354	2022			correct_baseline
1626096	2020			correct_baseline
1626096	2021			correct_baseline
1626096	2022			correct_baseline
1651430	2020			correct_baseline
1651430	2021			correct_baseline
1651430	2022			correct_baseline
1652150	2020			correct_baseline
1652150	2021			correct_baseline
1652150	2022			correct_baseline
1652212	2020			correct_baseline
1652212	2021			correct_baseline
1652212	2022			correct_baseline
1690276	2020			correct_baseline
1690276	2021			correct_baseline
1690276	2022			correct_baseline
1690429	2020	1	0.9508415664005916	correct_baseline
1690429	2021	1	0.9443625869909306	correct_baseline
1690429	2022	1	0.9373431644436877	correct_baseline
1702101	2020			correct_baseline
1702101	2021			correct_baseline
1702101	2022			correct_baseline
1707320	2020			correct_baseline
1707320	2021			correct_baseline
1707320	2022			correct_baseline
1713034	2020			correct_baseline
1713034	2021			correct_baseline
1713034	2022			correct_baseline
1714140	2020			correct_baseline
1714140	2021			correct_baseline
1714140	2022			correct_baseline
1718308	2020	1	0.9486434653537338	correct_baseline
1718308	2021	1	0.9451319509431907	correct_baseline
1718308	2022	1	0.9415850774805828	correct_baseline
1719204	2020			correct_baseline
1719204	2021			correct_baseline
1719204	2022			correct_baseline
1722299	2020			correct_baseline
1722299	2021			correct_baseline
1722299	2022			correct_baseline
1737131	2020			correct_baseline
1737131	2021			correct_baseline
1737131	2022			correct_baseline
1749449	2020			correct_baseline
1749449	2021			correct_baseline
1749449	2022			correct_baseline
1749580	2020			correct_baseline
1749580	2021			correct_baseline
1749580	2022			correct_baseline
1751299	2020			correct_baseline
1751299	2021			correct_baseline
1751299	2022			correct_baseline
1829659	2020			correct_baseline
1829659	2021			correct_baseline
1829659	2022			correct_baseline
1830284	2020			correct_baseline
1830284	2021			correct_baseline
1830284	2022			correct_baseline
1830823	2020			correct_baseline
1830823	2021			correct_baseline
1830823	2022			correct_baseline
1852787	2020			correct_baseline
1852787	2021			correct_baseline
1852787	2022			correct_baseline
1852831	2020			correct_baseline
1852831	2021			correct_baseline
1852831	2022			correct_baseline
1865660	2020			correct_baseline
1865660	2021			correct_baseline
1865660	2022			correct_baseline
1866356	2020			correct_baseline
1866356	2021			correct_baseline
1866356	2022			correct_baseline
1873051	2020			correct_baseline
1873051	2021			correct_baseline
1873051	2022			correct_baseline
1873890	2020			correct_baseline
1873890	2021			correct_baseline
1873890	2022			correct_baseline
1873903	2020			correct_baseline
1873903	2021			correct_baseline
1873903	2022			correct_baseline
1885213	2020			correct_baseline
1885213	2021			correct_baseline
1885213	2022			correct_baseline
1886729	2020			correct_baseline
1886729	2021			correct_baseline
1886729	2022			correct_baseline
1891245	2020			correct_baseline
1891245	2021			correct_baseline
1891245	2022			correct_baseline
1910629	2020			correct_baseline
1910629	2021			correct_baseline
1910629	2022			correct_baseline
1932752	2020			correct_baseline
1932752	2021			correct_baseline
1932752	2022			correct_baseline
1941864	2020			correct_baseline
1941864	2021			correct_baseline
1941864	2022			correct_baseline
1971998	2020			correct_baseline
1971998	2021			correct_baseline
1971998	2022			correct_baseline
1995489	2020			correct_baseline
1995489	2021			correct_baseline
1995489	2022			correct_baseline
1997215	2020			correct_baseline
1997215	2021			correct_baseline
1997215	2022			correct_baseline
1998599	2020			correct_baseline
1998599	2021			correct_baseline
1998599	2022			correct_baseline
2000152	2020			correct_baseline
2000152	2021			correct_baseline
2000152	2022			correct_baseline
2000204	2020			correct_baseline
2000204	2021			correct_baseline
2000204	2022			correct_baseline
2007665	2020			correct_baseline
2007665	2021			correct_baseline
2007665	2022			correct_baseline
2008616	2020			correct_baseline
2008616	2021			correct_baseline
2008616	2022			correct_baseline
2010226	2020			correct_baseline
2010226	2021			correct_baseline
2010226	2022			correct_baseline
2020655	2020	0	0.6618098542527233	correct_baseline
2020655	2021	0	0.5644219210976965	correct_baseline
2020655	2022	0	0.4807859967218428	correct_baseline
2020686	2020			correct_baseline
2020686	2021			correct_baseline
2020686	2022			correct_baseline
