taxonKey	year	em_status	growth	method
1017419	2022			correct_baseline
1017419	2023			correct_baseline
1017419	2024			correct_baseline
1047536	2022	3	1.1083375505770612	correct_baseline
1047536	2023	3	1.045593859271212	correct_baseline
1047536	2024	1	0.9818707277688292	correct_baseline
1309652	2022			correct_baseline
1309652	2023			correct_baseline
1309652	2024			correct_baseline
1311477	2022			correct_baseline
1311477	2023			correct_baseline
1311477	2024			correct_baseline
1421091	2022	1	0.8307365852241424	correct_baseline
1421091	2023	1	0.6620211214271964	correct_baseline
1421091	2024	1	0.5181486001231655	correct_baseline
1622658	2022			correct_baseline
1622658	2023			correct_baseline
1622658	2024			correct_baseline
1690429	2022	0	0.559463743361478	correct_baseline
1690429	2023	0	0.44542900211692676	correct_baseline
1690429	2024	0	0.35286657303066393	correct_baseline
1718308	2022			correct_baseline
1718308	2023			correct_baseline
1718308	2024			correct_baseline
1749449	2022			correct_baseline
1749449	2023			correct_baseline
1749449	2024			correct_baseline
1932752	2022			correct_baseline
1932752	2023			correct_baseline
1932752	2024			correct_baseline
1997215	2022			correct_baseline
1997215	2023			correct_baseline
1997215	2024			correct_baseline
2008616	2022			correct_baseline
2008616	2023			correct_baseline
2008616	2024			correct_baseline
2020655	2022	3	1.2782921566739003	correct_baseline
2020655	2023	3	1.0814766762803523	correct_baseline
2020655	2024	1	0.8884885654540291	correct_baseline
2020686	2022			correct_baseline
2020686	2023			correct_baseline
2020686	2024			correct_baseline
2037925	2022	3	1.2661513804446807	correct_baseline
2037925	2023	3	1.262520979793247	correct_baseline
2037925	2024	3	1.2583438403126685	correct_baseline
2038171	2022			correct_baseline
2038171	2023			correct_baseline
2038171	2024			correct_baseline
2041682	2022	3	1.3546160031268086	correct_baseline
2041682	2023	3	1.3730167913492515	correct_baseline
2041682	2024	3	1.391116459562799	correct_baseline
2078852	2022	0	0.825700194341834	correct_baseline
2078852	2023	0	0.5351762035483713	correct_baseline
2078852	2024	0	0.34151370151411464	correct_baseline
2095283	2022			correct_baseline
2095283	2023			correct_baseline
2095283	2024			correct_baseline
2153287	2022			correct_baseline
2153287	2023			correct_baseline
2153287	2024			correct_baseline
2157203	2022			correct_baseline
2157203	2023			correct_baseline
2157203	2024			correct_baseline
2157245	2022			correct_baseline
2157245	2023			correct_baseline
2157245	2024			correct_baseline
2164198	2022			correct_baseline
2164198	2023			correct_baseline
2164198	2024			correct_baseline
2225776	2022			correct_baseline
2225776	2023			correct_baseline
2225776	2024			correct_baseline
2294277	2022			correct_baseline
2294277	2023			correct_baseline
2294277	2024			correct_baseline
2295442	2022	0	0.5248170031202186	correct_baseline
2295442	2023	0	0.3422049351455865	correct_baseline
2295442	2024	0	0.21213047240751712	correct_baseline
2362030	2022	3	1.4059731670145688	basic
2362030	2023	3	1.472187451540837	basic
2362030	2024	3	1.5379878153687991	basic
2362868	2022			basic
2362868	2023			basic
2362868	2024			basic
2426661	2022	1	0.6095255543891719	correct_baseline
2426661	2023	1	0.5555340904951614	correct_baseline
2426661	2024	1	0.5007647175470161	correct_baseline
2435035	2022	0	0.42532150573273486	correct_baseline
2435035	2023	0	0.3002564593161534	correct_baseline
2435035	2024	1	0.2092625621810531	correct_baseline
2436940	2022	1	0.6716348628771621	correct_baseline
2436940	2023	1	0.6212963348416206	correct_baseline
2436940	2024	1	0.5736923737932565	correct_baseline
2437450	2022	1	0.8826872557168437	correct_baseline
2437450	2023	1	0.8538545265981167	correct_baseline
2437450	2024	1	0.8253829671040819	correct_baseline
2439261	2022	1	1.0019089659388325	correct_baseline
2439261	2023	1	0.9818012738787297	correct_baseline
2439261	2024	1	0.961853085668727	correct_baseline
2443002	2022			correct_baseline
2443002	2023			correct_baseline
2443002	2024			correct_baseline
2479226	2022	3	1.1635906657243515	correct_baseline
2479226	2023	3	1.1616439905654439	correct_baseline
2479226	2024	3	1.1596803798013513	correct_baseline
2479407	2022	1	0.9798572842103229	correct_baseline
2479407	2023	1	0.9532776850819272	correct_baseline
2479407	2024	1	0.927120436475076	correct_baseline
2479798	2022	3	1.226866087495447	correct_baseline
2479798	2023	3	1.2380433541133107	correct_baseline
2479798	2024	3	1.2489341755058605	correct_baseline
2479977	2022	1	1.0089500101916296	correct_baseline
2479977	2023	1	1.0057045956072836	correct_baseline
2479977	2024	1	1.0023931877381194	correct_baseline
2494303	2022			correct_baseline
2494303	2023			correct_baseline
2494303	2024			correct_baseline
2495414	2022	3	1.2836259852904692	correct_baseline
2495414	2023	3	1.2896384121567037	correct_baseline
2495414	2024	3	1.2956591376003508	correct_baseline
