taxonKey	year	em_status	growth	method
1047536	2022			correct_baseline
1047536	2023			correct_baseline
1047536	2024			correct_baseline
1311477	2022			correct_baseline
1311477	2023			correct_baseline
1311477	2024			correct_baseline
1421091	2022			correct_baseline
1421091	2023			correct_baseline
1421091	2024			correct_baseline
1690429	2022	3	1.028269743245022	correct_baseline
1690429	2023	3	1.0438703890356251	correct_baseline
1690429	2024	3	1.059666169053773	correct_baseline
1749449	2022			correct_baseline
1749449	2023			correct_baseline
1749449	2024			correct_baseline
2008616	2022			correct_baseline
2008616	2023			correct_baseline
2008616	2024			correct_baseline
2020655	2022			correct_baseline
2020655	2023			correct_baseline
2020655	2024			correct_baseline
2037925	2022			correct_baseline
2037925	2023			correct_baseline
2037925	2024			correct_baseline
2041682	2022			correct_baseline
2041682	2023			correct_baseline
2041682	2024			correct_baseline
2078852	2022			correct_baseline
2078852	2023			correct_baseline
2078852	2024			correct_baseline
2153287	2022			correct_baseline
2153287	2023			correct_baseline
2153287	2024			correct_baseline
2426661	2022			correct_baseline
2426661	2023			correct_baseline
2426661	2024			correct_baseline
2435035	2022	0	0.5238589131393794	correct_baseline
2435035	2023	0	0.39600015582473663	correct_baseline
2435035	2024	0	0.29405927027264084	correct_baseline
2436940	2022	1	0.7080357319192245	correct_baseline
2436940	2023	1	0.6851369410646406	correct_baseline
2436940	2024	1	0.661997682171876	correct_baseline
2437450	2022	1	0.9550725612674545	correct_baseline
2437450	2023	1	0.9299885988631096	correct_baseline
2437450	2024	1	0.9046897139332992	correct_baseline
2439261	2022	0	0.5169691633924188	correct_baseline
2439261	2023	0	0.39469999375858067	correct_baseline
2439261	2024	0	0.2975424401994477	correct_baseline
2443002	2022			correct_baseline
2443002	2023			correct_baseline
2443002	2024			correct_baseline
2479226	2022	0	0.991649241267989	correct_baseline
2479226	2023	0	0.9529225541058735	correct_baseline
2479226	2024	0	0.9155101044410551	correct_baseline
2479407	2022	3	1.2772635178007599	correct_baseline
2479407	2023	3	1.3417531405482812	correct_baseline
2479407	2024	3	1.4080760248685429	correct_baseline
2495414	2022	0	0.9280253432838222	correct_baseline
2495414	2023	0	0.8706542287147032	correct_baseline
2495414	2024	0	0.8164024396320404	correct_baseline
2498034	2022			correct_baseline
2498034	2023			correct_baseline
2498034	2024			correct_baseline
2498252	2022	3	1.1495645349808028	correct_baseline
2498252	2023	3	1.1567205001807797	correct_baseline
2498252	2024	3	1.1639043870689794	correct_baseline
2498387	2022	1	0.5953073392829135	correct_baseline
2498387	2023	1	0.5490001180419325	correct_baseline
2498387	2024	1	0.4966441482005276	correct_baseline
2498388	2022	3	1.0294029798219704	correct_baseline
2498388	2023	3	1.029740469600791	correct_baseline
2498388	2024	3	1.0300532052691216	correct_baseline
2683866	2022			correct_baseline
2683866	2023			correct_baseline
2683866	2024			correct_baseline
2687210	2022			correct_baseline
2687210	2023			correct_baseline
2687210	2024			correct_baseline
2702084	2022	3	1.1106079777656879	correct_baseline
2702084	2023	3	1.127074906027233	correct_baseline
2702084	2024	3	1.1436287533357072	correct_baseline
2702727	2022	0	0.7257287074438425	correct_baseline
2702727	2023	1	0.7055574859178031	correct_baseline
2702727	2024	1	0.685788274207485	correct_baseline
2702808	2022	3	1.3847429950931407	correct_baseline
2702808	2023	3	1.4404719999415134	correct_baseline
2702808	2024	3	1.4973878312628781	correct_baseline
2703721	2022			correct_baseline
2703721	2023			correct_baseline
2703721	2024			correct_baseline
2705449	2022	1	0.8683803212240859	correct_baseline
2705449	2023	1	0.86100037904988	correct_baseline
2705449	2024	1	0.8536622317757724	correct_baseline
2747564	2022			correct_baseline
2747564	2023			correct_baseline
2747564	2024			correct_baseline
2747567	2022			correct_baseline
2747567	2023			correct_baseline
2747567	2024			correct_baseline
2753146	2022			correct_baseline
2753146	2023			correct_baseline
2753146	2024			correct_baseline
2855356	2022	1	0.8274919259732528	correct_baseline
2855356	2023	1	0.8052265224052183	correct_baseline
2855356	2024	1	0.7833528720216238	correct_baseline
2855398	2022			correct_baseline
2855398	2023			correct_baseline
2855398	2024			correct_baseline
2855860	2022			correct_baseline
2855860	2023			correct_baseline
2855860	2024			correct_baseline
2873861	2022	0	0.6576568918871897	correct_baseline
2873861	2023	0	0.6426056034681948	correct_baseline
2873861	2024	0	0.6278836356598841	correct_baseline
2876607	2022			correct_baseline
2876607	2023			correct_baseline
2876607	2024			correct_baseline
2880539	2022	3	1.174170618573401	correct_baseline
2880539	2023	3	1.2188155770634483	correct_baseline
2880539	2024	3	1.264978016516207	correct_baseline
2888380	2022			correct_baseline
2888380	2023			correct_baseline
2888380	2024			correct_baseline
2888439	2022			correct_baseline
2888439	2023			correct_baseline
2888439	2024			correct_baseline
2888513	2022	3	1.069324904412052	correct_baseline
2888513	2023	3	1.0715816368005564	correct_baseline
2888513	2024	3	1.0738343023825865	correct_baseline
2888625	2022			correct_baseline
2888625	2023			correct_baseline
2888625	2024			correct_baseline
2888740	2022			correct_baseline
2888740	2023			correct_baseline
2888740	2024			correct_baseline
2889088	2022	1	0.9243926557019363	correct_baseline
2889088	2023	1	0.9200315418926835	correct_baseline
2889088	2024	1	0.9156458376205239	correct_baseline
2889173	2022	3	1.0561704820812392	correct_baseline
2889173	2023	3	1.0566637676805615	correct_baseline
2889173	2024	3	1.057079191567912	correct_baseline
2889373	2022	1	0.907113258874848	correct_baseline
2889373	2023	1	0.8931993014510483	correct_baseline
2889373	2024	1	0.8793696443950241	correct_baseline
2890122	2022	3	1.5066440467690474	correct_baseline
2890122	2023	3	1.570003093886432	correct_baseline
2890122	2024	3	1.6351346114884795	correct_baseline
2890287	2022			correct_baseline
2890287	2023			correct_baseline
2890287	2024			correct_baseline
2890502	2022	1	0.9490688504152043	correct_baseline
2890502	2023	1	0.9495683476947316	correct_baseline
2890502	2024	1	0.950051542749516	correct_baseline
2890541	2022			correct_baseline
2890541	2023			correct_baseline
2890541	2024			correct_baseline
2891079	2022			correct_baseline
2891079	2023			correct_baseline
2891079	2024			correct_baseline
2891390	2022	1	0.7796309591655294	correct_baseline
2891390	2023	1	0.7484238943770289	correct_baseline
2891390	2024	1	0.7171321310194588	correct_baseline
2891770	2022	1	0.9033233813797573	correct_baseline
2891770	2023	1	0.8868097661827452	correct_baseline
2891770	2024	1	0.8703699650453066	correct_baseline
2891782	2022	3	1.0910874401947888	correct_baseline
2891782	2023	3	1.0922261431725182	correct_baseline
2891782	2024	3	1.0932917350222777	correct_baseline
2925514	2022			correct_baseline
2925514	2023			correct_baseline
2925514	2024			correct_baseline
2926110	2022	1	0.7744105156265202	correct_baseline
2926110	2023	0	0.747510506466925	correct_baseline
2926110	2024	0	0.7208977702850717	correct_baseline
2926130	2022	1	1.0053337865885814	correct_baseline
2926130	2023	1	0.9996409364301988	correct_baseline
2926130	2024	1	0.9939042757365729	correct_baseline
2926992	2022			correct_baseline
2926992	2023			correct_baseline
2926992	2024			correct_baseline
2927305	2022			correct_baseline
2927305	2023			correct_baseline
2927305	2024			correct_baseline
2928226	2022	0	0.610523882526405	correct_baseline
2928226	2023	0	0.43458766023728024	correct_baseline
2928226	2024	0	0.3057054534307392	correct_baseline
2928751	2022	1	0.8292296435572202	correct_baseline
2928751	2023	1	0.8219418969513475	correct_baseline
2928751	2024	1	0.8147074322734731	correct_baseline
2928761	2022			correct_baseline
2928761	2023			correct_baseline
2928761	2024			correct_baseline
2930137	2022			correct_baseline
2930137	2023			correct_baseline
2930137	2024			correct_baseline
2930262	2022			correct_baseline
2930262	2023			correct_baseline
2930262	2024			correct_baseline
2932872	2022			correct_baseline
2932872	2023			correct_baseline
2932872	2024			correct_baseline
2964355	2022			correct_baseline
2964355	2023			correct_baseline
2964355	2024			correct_baseline
2971095	2022	3	1.0298038200586461	correct_baseline
2971095	2023	3	1.0297772171950639	correct_baseline
2971095	2024	3	1.0297330439233265	correct_baseline
2975667	2022			correct_baseline
2975667	2023			correct_baseline
2975667	2024			correct_baseline
2985965	2022			correct_baseline
2985965	2023			correct_baseline
2985965	2024			correct_baseline
2986045	2022			correct_baseline
2986045	2023			correct_baseline
2986045	2024			correct_baseline
2986130	2022			correct_baseline
2986130	2023			correct_baseline
2986130	2024			correct_baseline
2986184	2022	1	0.889112937249283	correct_baseline
2986184	2023	1	0.8784836379970221	correct_baseline
2986184	2024	1	0.8677977053628955	correct_baseline
2995149	2022			correct_baseline
2995149	2023			correct_baseline
2995149	2024			correct_baseline
3003244	2022			correct_baseline
3003244	2023			correct_baseline
3003244	2024			correct_baseline
3012089	2022			correct_baseline
3012089	2023			correct_baseline
3012089	2024			correct_baseline
3021496	2022	3	1.139704785071106	correct_baseline
3021496	2023	3	1.1457791041437186	correct_baseline
3021496	2024	3	1.1518046482490871	correct_baseline
3021730	2022	1	0.9265184852114816	correct_baseline
3021730	2023	1	0.911895218148673	correct_baseline
3021730	2024	1	0.8967976139699633	correct_baseline
3021850	2022	3	1.2422145079789038	correct_baseline
3021850	2023	3	1.282935472693024	correct_baseline
3021850	2024	3	1.3248143998184012	correct_baseline
3021922	2022			correct_baseline
3021922	2023			correct_baseline
3021922	2024			correct_baseline
3026074	2022			correct_baseline
3026074	2023			correct_baseline
3026074	2024			correct_baseline
3026294	2022			correct_baseline
3026294	2023			correct_baseline
3026294	2024			correct_baseline
3027159	2022			correct_baseline
3027159	2023			correct_baseline
3027159	2024			correct_baseline
3028528	2022	1	0.8336622609136342	correct_baseline
3028528	2023	1	0.8207168741459651	correct_baseline
3028528	2024	1	0.8079090769596879	correct_baseline
3031774	2022	1	0.9893478173829989	correct_baseline
3031774	2023	1	0.9891497950010752	correct_baseline
3031774	2024	1	0.9889110934772612	correct_baseline
3032698	2022	1	0.8825328417320589	correct_baseline
3032698	2023	1	0.8767377178697774	correct_baseline
3032698	2024	1	0.8709681864545313	correct_baseline
3033227	2022			correct_baseline
3033227	2023			correct_baseline
3033227	2024			correct_baseline
3033865	2022	1	0.9214230270864373	correct_baseline
3033865	2023	1	0.918706691253859	correct_baseline
3033865	2024	1	0.9159844389556293	correct_baseline
3034825	2022	3	1.1613680638073758	correct_baseline
3034825	2023	3	1.1790440403130324	correct_baseline
3034825	2024	3	1.1966909530646386	correct_baseline
3034915	2022			correct_baseline
3034915	2023			correct_baseline
3034915	2024			correct_baseline
3034922	2022	1	1.0050866703137933	correct_baseline
3034922	2023	1	1.0065738021138027	correct_baseline
3034922	2024	1	1.0080139477139376	correct_baseline
3039203	2022	1	0.6159966030508395	correct_baseline
3039203	2023	1	0.5914760548333187	correct_baseline
3039203	2024	1	0.5676846294414986	correct_baseline
3040185	2022	1	0.890301459442108	correct_baseline
3040185	2023	1	0.89409723183095	correct_baseline
3040185	2024	1	0.8940866501006802	correct_baseline
3040233	2022	1	0.939805181105922	correct_baseline
3040233	2023	1	0.9375509538903006	correct_baseline
3040233	2024	1	0.9352793746734792	correct_baseline
3041022	2022	3	1.1370335730875354	correct_baseline
3041022	2023	3	1.1449961653631113	correct_baseline
3041022	2024	3	1.1529832979940025	correct_baseline
3042291	2022			correct_baseline
3042291	2023			correct_baseline
3042291	2024			correct_baseline
3047621	2022			correct_baseline
3047621	2023			correct_baseline
3047621	2024			correct_baseline
3048203	2022			correct_baseline
3048203	2023			correct_baseline
3048203	2024			correct_baseline
3053522	2022	0	0.5462521348695226	correct_baseline
3053522	2023	0	0.500897873173199	correct_baseline
3053522	2024	0	0.45895752791174377	correct_baseline
3054357	2022	1	0.9384180752459707	correct_baseline
3054357	2023	1	0.9376166592705162	correct_baseline
3054357	2024	1	0.936728595040112	correct_baseline
3054368	2022	1	0.9818892395646528	correct_baseline
3054368	2023	1	0.9710326411251274	correct_baseline
3054368	2024	1	0.9602178256581055	correct_baseline
3066965	2022	1	0.9293925274199063	correct_baseline
3066965	2023	1	0.9169909764460966	correct_baseline
3066965	2024	1	0.904553755019869	correct_baseline
3067119	2022			correct_baseline
3067119	2023			correct_baseline
3067119	2024			correct_baseline
3082244	2022	3	1.075660898782102	correct_baseline
3082244	2023	3	1.0820985978594562	correct_baseline
3082244	2024	3	1.0885051584848897	correct_baseline
3084022	2022			correct_baseline
3084022	2023			correct_baseline
3084022	2024			correct_baseline
3084719	2022	1	0.954056663991973	correct_baseline
3084719	2023	1	0.9481555203613773	correct_baseline
3084719	2024	1	0.9419888689982838	correct_baseline
3085360	2022	1	1.0073149495330884	correct_baseline
3085360	2023	1	1.0053686912509099	correct_baseline
3085360	2024	1	1.003367144737489	correct_baseline
3085381	2022			correct_baseline
3085381	2023			correct_baseline
3085381	2024			correct_baseline
3085438	2022			correct_baseline
3085438	2023			correct_baseline
3085438	2024			correct_baseline
3098912	2022			correct_baseline
3098912	2023			correct_baseline
3098912	2024			correct_baseline
3103791	2022	1	0.9553510144537006	correct_baseline
3103791	2023	1	0.9534169180443847	correct_baseline
3103791	2024	1	0.9514766495489952	correct_baseline
3109086	2022	3	1.2006847818970738	correct_baseline
3109086	2023	3	1.2297665792631889	correct_baseline
3109086	2024	3	1.2582545573427306	correct_baseline
3117449	2022	3	1.0367951524153274	correct_baseline
3117449	2023	3	1.0396753530725062	correct_baseline
3117449	2024	3	1.0425168691426283	correct_baseline
3118430	2022	1	1.0023868312582813	correct_baseline
3118430	2023	1	1.0016337773010133	correct_baseline
3118430	2024	1	1.000811048456381	correct_baseline
3120284	2022	2	0.9110881455755159	correct_baseline
3120284	2023	2	0.96758352708912	correct_baseline
3120284	2024	3	1.0245582674496332	correct_baseline
3122924	2022	3	1.7069589239417293	correct_baseline
3122924	2023	3	1.9795885039168288	correct_baseline
3122924	2024	3	2.283492385351485	correct_baseline
3128225	2022			correct_baseline
3128225	2023			correct_baseline
3128225	2024			correct_baseline
3132570	2022	3	1.362503230934194	correct_baseline
3132570	2023	3	1.4517546098532483	correct_baseline
3132570	2024	3	1.5465437208439865	correct_baseline
3146683	2022	3	1.3553622211889278	correct_baseline
3146683	2023	3	1.3910064933166737	correct_baseline
3146683	2024	3	1.4273840010112682	correct_baseline
3146791	2022	3	1.1368013304375901	correct_baseline
3146791	2023	3	1.1574642072588146	correct_baseline
3146791	2024	3	1.1783920385463968	correct_baseline
3147168	2022			correct_baseline
3147168	2023			correct_baseline
3147168	2024			correct_baseline
3152583	2022			correct_baseline
3152583	2023			correct_baseline
3152583	2024			correct_baseline
3152861	2022			correct_baseline
3152861	2023			correct_baseline
3152861	2024			correct_baseline
3169340	2022	1	0.9142554495252049	correct_baseline
3169340	2023	1	0.9035511915459558	correct_baseline
3169340	2024	1	0.8928127207694504	correct_baseline
3169708	2022	1	0.9479799387138814	correct_baseline
3169708	2023	1	0.9355559336284639	correct_baseline
3169708	2024	1	0.9227645970494285	correct_baseline
3170823	2022			correct_baseline
3170823	2023			correct_baseline
3170823	2024			correct_baseline
3172077	2022	3	1.394266405360489	correct_baseline
3172077	2023	3	1.4483941355990164	correct_baseline
3172077	2024	3	1.5042739722587295	correct_baseline
3172100	2022	1	0.9185894516479689	correct_baseline
3172100	2023	1	0.9153575024919697	correct_baseline
3172100	2024	1	0.9121268897744674	correct_baseline
3172118	2022			correct_baseline
3172118	2023			correct_baseline
3172118	2024			correct_baseline
3172291	2022	3	1.074517616721999	correct_baseline
3172291	2023	3	1.0820092894443927	correct_baseline
3172291	2024	3	1.089472965823463	correct_baseline
3172347	2022			correct_baseline
3172347	2023			correct_baseline
3172347	2024			correct_baseline
3173338	2022	3	1.1922729463682156	correct_baseline
3173338	2023	3	1.2187961773787217	correct_baseline
3173338	2024	3	1.245763607923442	correct_baseline
3188894	2022	0	0.7679126057899835	correct_baseline
3188894	2023	0	0.7528621969011121	correct_baseline
3188894	2024	0	0.7380640436236411	correct_baseline
3188924	2022	1	0.9157524045068629	correct_baseline
3188924	2023	1	0.9094034753476269	correct_baseline
3188924	2024	1	0.9030647241308112	correct_baseline
3189815	2022	1	0.9563030417382778	correct_baseline
3189815	2023	1	0.9482929292997783	correct_baseline
3189815	2024	1	0.9403061798291705	correct_baseline
3189837	2022			correct_baseline
3189837	2023			correct_baseline
3189837	2024			correct_baseline
3189866	2022	1	0.9335917874518136	correct_baseline
3189866	2023	1	0.9329342642066182	correct_baseline
3189866	2024	1	0.9320495070901316	correct_baseline
3190538	2022			correct_baseline
3190538	2023			correct_baseline
3190538	2024			correct_baseline
3190653	2022	3	1.1062608809590007	correct_baseline
3190653	2023	3	1.118105086423774	correct_baseline
3190653	2024	3	1.1300428419728086	correct_baseline
3602683	2022			correct_baseline
3602683	2023			correct_baseline
3602683	2024			correct_baseline
3686235	2022			correct_baseline
3686235	2023			correct_baseline
3686235	2024			correct_baseline
4067302	2022			correct_baseline
4067302	2023			correct_baseline
4067302	2024			correct_baseline
4460066	2022	0	0.4303178993896863	correct_baseline
4460066	2023	0	0.2511586208976353	correct_baseline
4460066	2024	0	0.1423062462650703	correct_baseline
4486243	2022			correct_baseline
