taxonKey	year	em_status	growth	method
1017419	2022	3	1.9711388065761248	correct_baseline
1017419	2023	3	1.865673554417768	correct_baseline
1017419	2024	3	1.7042841493825989	correct_baseline
1031394	2022	1	0.9109544999546756	correct_baseline
1031394	2023	1	0.8969485704018665	correct_baseline
1031394	2024	1	0.861931746802347	correct_baseline
1031400	2022	0	0.46789957200939436	correct_baseline
1031400	2023	0	0.40413149745607824	correct_baseline
1031400	2024	0	0.3488052390798016	correct_baseline
1031684	2022	3	1.016398442488538	correct_baseline
1031684	2023	1	0.990553140950719	correct_baseline
1031684	2024	1	0.9650504815421541	correct_baseline
1031742	2022			correct_baseline
1031742	2023			correct_baseline
1031742	2024			correct_baseline
1047536	2022	3	1.3416738831475636	correct_baseline
1047536	2023	3	1.297757754710037	correct_baseline
1047536	2024	3	1.2544852982642292	correct_baseline
1095946	2022			correct_baseline
1095946	2023			correct_baseline
1095946	2024			correct_baseline
1111797	2022			correct_baseline
1111797	2023			correct_baseline
1111797	2024			correct_baseline
1309600	2022	0	0.6358319570878465	correct_baseline
1309600	2023	0	0.6004022318327243	correct_baseline
1309600	2024	0	0.5668538368400539	correct_baseline
1309606	2022			correct_baseline
1309606	2023			correct_baseline
1309606	2024			correct_baseline
1309652	2022	0	0.6016022653157077	correct_baseline
1309652	2023	1	0.6428541663958802	correct_baseline
1309652	2024	1	0.6431249040476403	correct_baseline
1311477	2022	3	2.4677571406801997	correct_baseline
1311477	2023	3	2.5789143595670576	correct_baseline
1311477	2024	3	2.694179683236123	correct_baseline
1316908	2022	3	1.2398454299421813	correct_baseline
1316908	2023	3	1.1227639708907171	correct_baseline
1316908	2024	1	1.002877662842269	correct_baseline
1346919	2022	0	0.2830755203245961	correct_baseline
1346919	2023	0	0.09610294166166837	correct_baseline
1346919	2024	0	0.02742457173270892	correct_baseline
1411953	2022			correct_baseline
1411953	2023			correct_baseline
1411953	2024			correct_baseline
1421091	2022	3	1.3396685235520052	correct_baseline
1421091	2023	3	1.321314945949771	correct_baseline
1421091	2024	3	1.3028578397872483	correct_baseline
1577153	2022			correct_baseline
1577153	2023			correct_baseline
1577153	2024			correct_baseline
1579447	2022	3	1.7277732731053161	correct_baseline
1579447	2023	3	1.5374824300550924	correct_baseline
1579447	2024	3	1.2822048382711313	correct_baseline
1622599	2022	0	0.6380603944818345	correct_baseline
1622599	2023	0	0.4472263188541941	correct_baseline
1622599	2024	0	0.2891759312982238	correct_baseline
1622658	2022			correct_baseline
1622658	2023			correct_baseline
1622658	2024			correct_baseline
1626096	2022			correct_baseline
1626096	2023			correct_baseline
1626096	2024			correct_baseline
1651430	2022	0	0.5765751745499541	correct_baseline
1651430	2023	0	0.5107335633817747	correct_baseline
1651430	2024	0	0.45222238619727234	correct_baseline
1652212	2022			correct_baseline
1652212	2023			correct_baseline
1652212	2024			correct_baseline
1690429	2022	0	0.7939389704870856	correct_baseline
1690429	2023	0	0.7686030604215597	correct_baseline
1690429	2024	0	0.7439982633371008	correct_baseline
1702101	2022			correct_baseline
1702101	2023			correct_baseline
1702101	2024			correct_baseline
1713034	2022			correct_baseline
1713034	2023			correct_baseline
1713034	2024			correct_baseline
1718308	2022	3	1.2359043264288996	correct_baseline
1718308	2023	3	1.253836286891689	correct_baseline
1718308	2024	3	1.2717556133178405	correct_baseline
1719204	2022			correct_baseline
1719204	2023			correct_baseline
1719204	2024			correct_baseline
1722299	2022			correct_baseline
1722299	2023			correct_baseline
1722299	2024			correct_baseline
1737131	2022			correct_baseline
1737131	2023			correct_baseline
1737131	2024			correct_baseline
1749449	2022	0	0.8482761392740225	correct_baseline
1749449	2023	0	0.6952289834122982	correct_baseline
1749449	2024	0	0.5627074325992751	correct_baseline
1749580	2022	1	0.8490553659593386	correct_baseline
1749580	2023	1	0.8152110324130769	correct_baseline
1749580	2024	1	0.7823468946371601	correct_baseline
1751299	2022	3	1.023797024094178	correct_baseline
1751299	2023	3	1.0121908849450927	correct_baseline
1751299	2024	1	1.0004972530695047	correct_baseline
1798504	2022			correct_baseline
1798504	2023			correct_baseline
1798504	2024			correct_baseline
1830823	2022			correct_baseline
1830823	2023			correct_baseline
1830823	2024			correct_baseline
1852787	2022			correct_baseline
1852787	2023			correct_baseline
1852787	2024			correct_baseline
1852831	2022			correct_baseline
1852831	2023			correct_baseline
1852831	2024			correct_baseline
1873890	2022			correct_baseline
1873890	2023			correct_baseline
1873890	2024			correct_baseline
1873903	2022			correct_baseline
1873903	2023			correct_baseline
1873903	2024			correct_baseline
1885213	2022			correct_baseline
1885213	2023			correct_baseline
1885213	2024			correct_baseline
1891245	2022			correct_baseline
1891245	2023			correct_baseline
1891245	2024			correct_baseline
1920491	2022			correct_baseline
1920491	2023			correct_baseline
1920491	2024			correct_baseline
1941864	2022			correct_baseline
1941864	2023			correct_baseline
1941864	2024			correct_baseline
1997215	2022	2	1.7949028976190464	correct_baseline
1997215	2023	2	1.4354548587613039	correct_baseline
1997215	2024	2	1.010575358031605	correct_baseline
1998083	2022			correct_baseline
1998083	2023			correct_baseline
1998083	2024			correct_baseline
1998599	2022			correct_baseline
1998599	2023			correct_baseline
1998599	2024			correct_baseline
2000152	2022			correct_baseline
2000152	2023			correct_baseline
2000152	2024			correct_baseline
2000204	2022	2	1.548560653267734	correct_baseline
2000204	2023	2	1.2119043820485962	correct_baseline
2000204	2024	0	0.8252470250109648	correct_baseline
2008616	2022			correct_baseline
2008616	2023			correct_baseline
2008616	2024			correct_baseline
2020655	2022	3	1.6357546540068981	correct_baseline
2020655	2023	3	1.6463213269738077	correct_baseline
2020655	2024	3	1.6543379490159842	correct_baseline
2020686	2022	3	1.163295619915438	correct_baseline
2020686	2023	3	1.162674956063038	correct_baseline
2020686	2024	3	1.1618041341659207	correct_baseline
2020779	2022			correct_baseline
2020779	2023			correct_baseline
2020779	2024			correct_baseline
