taxonKey	year	em_status	growth	method
1003567	2020			correct_baseline
1003567	2021			correct_baseline
1003567	2022			correct_baseline
1008955	2020			correct_baseline
1008955	2021			correct_baseline
1008955	2022			correct_baseline
1014565	2020			correct_baseline
1014565	2021			correct_baseline
1014565	2022			correct_baseline
1017419	2020			correct_baseline
1017419	2021			correct_baseline
1017419	2022			correct_baseline
1031394	2020			correct_baseline
1031394	2021			correct_baseline
1031394	2022			correct_baseline
1031400	2020			correct_baseline
1031400	2021			correct_baseline
1031400	2022			correct_baseline
1031684	2020			correct_baseline
1031684	2021			correct_baseline
1031684	2022			correct_baseline
1031737	2020			correct_baseline
1031737	2021			correct_baseline
1031737	2022			correct_baseline
1031742	2020			correct_baseline
1031742	2021			correct_baseline
1031742	2022			correct_baseline
1043717	2020			correct_baseline
1043717	2021			correct_baseline
1043717	2022			correct_baseline
1047536	2020	3	1.3810887180995854	correct_baseline
1047536	2021	3	1.3782166658623718	correct_baseline
1047536	2022	3	1.3752165526180353	correct_baseline
1095946	2020			correct_baseline
1095946	2021			correct_baseline
1095946	2022			correct_baseline
1119292	2020			correct_baseline
1119292	2021			correct_baseline
1119292	2022			correct_baseline
1133603	2020			correct_baseline
1133603	2021			correct_baseline
1133603	2022			correct_baseline
1152186	2020			correct_baseline
1152186	2021			correct_baseline
1152186	2022			correct_baseline
1247584	2020			correct_baseline
1247584	2021			correct_baseline
1247584	2022			correct_baseline
1276876	2020			correct_baseline
1276876	2021			correct_baseline
1276876	2022			correct_baseline
1309600	2020	2	0.9779483945584696	correct_baseline
1309600	2021	1	0.9877365355815046	correct_baseline
1309600	2022	1	0.9905925624083698	correct_baseline
1309606	2020			correct_baseline
1309606	2021			correct_baseline
1309606	2022			correct_baseline
1309652	2020			correct_baseline
1309652	2021			correct_baseline
1309652	2022			correct_baseline
1311477	2020			correct_baseline
1311477	2021			correct_baseline
1311477	2022			correct_baseline
1313740	2020			correct_baseline
1313740	2021			correct_baseline
1313740	2022			correct_baseline
1316908	2020			correct_baseline
1316908	2021			correct_baseline
1316908	2022			correct_baseline
1320777	2020			correct_baseline
1320777	2021			correct_baseline
1320777	2022			correct_baseline
1325561	2020			correct_baseline
1325561	2021			correct_baseline
1325561	2022			correct_baseline
1342324	2020			correct_baseline
1342324	2021			correct_baseline
1342324	2022			correct_baseline
1346919	2020			correct_baseline
1346919	2021			correct_baseline
1346919	2022			correct_baseline
1421091	2020	0	0.8195000690734285	correct_baseline
1421091	2021	0	0.7687333765709485	correct_baseline
1421091	2022	0	0.7208212604239845	correct_baseline
1421095	2020			correct_baseline
1421095	2021			correct_baseline
1421095	2022			correct_baseline
1421105	2020			correct_baseline
1421105	2021			correct_baseline
1421105	2022			correct_baseline
1450317	2020			correct_baseline
1450317	2021			correct_baseline
1450317	2022			correct_baseline
1521740	2020			correct_baseline
1521740	2021			correct_baseline
1521740	2022			correct_baseline
1523628	2020			correct_baseline
1523628	2021			correct_baseline
1523628	2022			correct_baseline
1551754	2020			correct_baseline
1551754	2021			correct_baseline
1551754	2022			correct_baseline
1577153	2020			correct_baseline
1577153	2021			correct_baseline
1577153	2022			correct_baseline
1579447	2020			correct_baseline
1579447	2021			correct_baseline
1579447	2022			correct_baseline
1622599	2020			correct_baseline
1622599	2021			correct_baseline
1622599	2022			correct_baseline
1622658	2020			correct_baseline
1622658	2021			correct_baseline
1622658	2022			correct_baseline
1623354	2020			correct_baseline
1623354	2021			correct_baseline
1623354	2022			correct_baseline
1626096	2020			correct_baseline
1626096	2021			correct_baseline
1626096	2022			correct_baseline
1651430	2020			correct_baseline
1651430	2021			correct_baseline
1651430	2022			correct_baseline
1652150	2020			correct_baseline
1652150	2021			correct_baseline
1652150	2022			correct_baseline
1652212	2020			correct_baseline
1652212	2021			correct_baseline
1652212	2022			correct_baseline
1690276	2020			correct_baseline
1690276	2021			correct_baseline
1690276	2022			correct_baseline
1690429	2020	1	0.9407928573156418	correct_baseline
1690429	2021	1	0.9298332673322942	correct_baseline
1690429	2022	1	0.9185522688070862	correct_baseline
1702101	2020			correct_baseline
1702101	2021			correct_baseline
1702101	2022			correct_baseline
1707320	2020			correct_baseline
1707320	2021			correct_baseline
1707320	2022			correct_baseline
1713034	2020			correct_baseline
1713034	2021			correct_baseline
1713034	2022			correct_baseline
1714140	2020			correct_baseline
1714140	2021			correct_baseline
1714140	2022			correct_baseline
1718308	2020	1	0.9579412245529253	correct_baseline
1718308	2021	1	0.9555414191044114	correct_baseline
1718308	2022	1	0.9531024247084839	correct_baseline
1720196	2020			correct_baseline
1720196	2021			correct_baseline
1720196	2022			correct_baseline
1722299	2020			correct_baseline
1722299	2021			correct_baseline
1722299	2022			correct_baseline
1728965	2020			correct_baseline
1728965	2021			correct_baseline
1728965	2022			correct_baseline
1737131	2020			correct_baseline
1737131	2021			correct_baseline
1737131	2022			correct_baseline
1749449	2020			correct_baseline
1749449	2021			correct_baseline
1749449	2022			correct_baseline
1749580	2020			correct_baseline
1749580	2021			correct_baseline
1749580	2022			correct_baseline
1751299	2020			correct_baseline
1751299	2021			correct_baseline
1751299	2022			correct_baseline
1829659	2020			correct_baseline
1829659	2021			correct_baseline
1829659	2022			correct_baseline
1830284	2020			correct_baseline
1830284	2021			correct_baseline
1830284	2022			correct_baseline
1830823	2020			correct_baseline
1830823	2021			correct_baseline
1830823	2022			correct_baseline
1852787	2020			correct_baseline
1852787	2021			correct_baseline
1852787	2022			correct_baseline
1852831	2020			correct_baseline
1852831	2021			correct_baseline
1852831	2022			correct_baseline
1865660	2020			correct_baseline
1865660	2021			correct_baseline
1865660	2022			correct_baseline
1866356	2020			correct_baseline
1866356	2021			correct_baseline
1866356	2022			correct_baseline
1873051	2020			correct_baseline
1873051	2021			correct_baseline
1873051	2022			correct_baseline
1873890	2020			correct_baseline
1873890	2021			correct_baseline
1873890	2022			correct_baseline
1885213	2020			correct_baseline
1885213	2021			correct_baseline
1885213	2022			correct_baseline
1886729	2020			correct_baseline
1886729	2021			correct_baseline
1886729	2022			correct_baseline
1932752	2020			correct_baseline
1932752	2021			correct_baseline
1932752	2022			correct_baseline
1941864	2020			correct_baseline
1941864	2021			correct_baseline
1941864	2022			correct_baseline
1971998	2020			correct_baseline
1971998	2021			correct_baseline
1971998	2022			correct_baseline
1995489	2020			correct_baseline
1995489	2021			correct_baseline
1995489	2022			correct_baseline
1997215	2020			correct_baseline
1997215	2021			correct_baseline
1997215	2022			correct_baseline
2000152	2020			correct_baseline
2000152	2021			correct_baseline
2000152	2022			correct_baseline
2000204	2020			correct_baseline
2000204	2021			correct_baseline
2000204	2022			correct_baseline
2008616	2020			correct_baseline
2008616	2021			correct_baseline
2008616	2022			correct_baseline
2010226	2020			correct_baseline
2010226	2021			correct_baseline
2010226	2022			correct_baseline
2020655	2020	0	0.7163037199841259	correct_baseline
2020655	2021	0	0.6121158951204642	correct_baseline
2020655	2022	0	0.5222902582546546	correct_baseline
2020686	2020			correct_baseline
2020686	2021			correct_baseline
2020686	2022			correct_baseline
2020688	2020			correct_baseline
2020688	2021			correct_baseline
2020688	2022			correct_baseline
2020779	2020			correct_baseline
2020779	2021			correct_baseline
2020779	2022			correct_baseline
2020832	2020			correct_baseline
2020832	2021			correct_baseline
2020832	2022			correct_baseline
2020879	2020			correct_baseline
2020879	2021			correct_baseline
2020879	2022			correct_baseline
2029273	2020			correct_baseline
2029273	2021			correct_baseline
2029273	2022			correct_baseline
2029899	2020			correct_baseline
2029899	2021			correct_baseline
2029899	2022			correct_baseline
2037925	2020	0	0.4734000463057886	correct_baseline
