taxonKey	canonicalName	kingdom	class	em_pts	mean_growth	year_2023_em_status_occupancy_natura2000_Wallonia	year_2023_em_status_occs_natura2000_Wallonia	year_2022_em_status_occupancy_natura2000_Wallonia	year_2022_em_status_occs_natura2000_Wallonia	year_2021_em_status_occupancy_natura2000_Wallonia	year_2021_em_status_occs_natura2000_Wallonia	kingdomKey	classKey
5281901	Campylopus introflexus	Plantae	Bryopsida	31.5	1.071464863296806	3	3	3	3	3	3	6	327
5285637	Pinus sylvestris	Plantae	Pinopsida	31.5	1.03491012089374	3	3	3	3	3	3	6	194
5372655	Salix eleagnos	Plantae	Magnoliopsida	31.5		3	3	3	3	3	3	6	220
2775530	Yucca flaccida	Plantae	Liliopsida	30		3	3	3	2	3	3	6	196
3189837	Acer saccharinum	Plantae	Magnoliopsida	29	1.3207496316965397	2	3	3	3	3	3	6	220
3033242	Anemone blanda	Plantae	Magnoliopsida	29	1.2174429012067407	2	3	3	3	3	3	6	220
7443846	Dipsacus strigosus	Plantae	Magnoliopsida	28		3	2	3	2	3	3	6	220
7346102	Erythranthe guttata	Plantae	Magnoliopsida	27.5	1.1507600172089516	2	3	3	3	2	3	6	220
2747564	Crocus tommasinianus	Plantae	Liliopsida	27		2	2	3	3	3	3	6	196
2775619	Yucca gloriosa	Plantae	Liliopsida	27		3	2	3	2	3	2	6	196
2857017	Allium paradoxum	Plantae	Liliopsida	27		2	2	3	3	3	3	6	196
2926992	Salvia hispanica	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
3088310	Petasites japonicus	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
5415012	Linaria purpurea	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
7127810	Cyclamen hederifolium	Plantae	Magnoliopsida	27		2	2	3	3	3	3	6	220
7828157	Petroselinum crispum	Plantae	Magnoliopsida	26.5	1.0056654429358882	1	3	3	3	3	3	6	220
3026107	Cotoneaster simonsii	Plantae	Magnoliopsida	26.5		3	3	3	3	1	1	6	220
5598598	Lonicera acuminata	Plantae	Magnoliopsida	26.5		3	3	3	3	1	1	6	220
5369784	Geum macrophyllum	Plantae	Magnoliopsida	26		2	2	3	3	3	2	6	220
3136320	Hieracium amplexicaule	Plantae	Magnoliopsida	25.5	1.1547883239227232	2	3	2	3	2	3	6	220
