taxonKey	canonicalName	year	ncells_prot_areas	ncells_BE	in_prot_areas	in_BE	class	kingdom	classKey	kingdomKey
11794300	Xanthium orientale saccharatum	2020	4	6	TRUE	TRUE	Magnoliopsida	Plantae	220	6
1622658	Rhagoletis completa	2020	4		TRUE	FALSE	Insecta	Animalia	216	1
2153287	Zoropsis spinimana	2021	4		TRUE	FALSE	Arachnida	Animalia	367	1
3935079	Malva arborea	2021	4		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2481066	Milvago chimachima	2020	3	3	TRUE	TRUE	Aves	Animalia	212	1
2480786	Theristicus melanopis	2020	3		TRUE	FALSE	Aves	Animalia	212	1
2747718	Crocus speciosus	2020	3		TRUE	FALSE	Liliopsida	Plantae	196	6
2855893	Allium roseum	2021	3		TRUE	FALSE	Liliopsida	Plantae	196	6
2984306	Gunnera tinctoria	2020	3		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3172068	Veronica cymbalaria	2021	3		TRUE	FALSE	Magnoliopsida	Plantae	220	6
4485843	Halyomorpha halys	2020	3		TRUE	FALSE	Insecta	Animalia	216	1
5331238	Viola sororia	2020	3		TRUE	FALSE	Magnoliopsida	Plantae	220	6
5373160	Malcolmia flexuosa	2020	3		TRUE	FALSE	Magnoliopsida	Plantae	220	6
8011733	Weigela floribunda	2021	3		TRUE	FALSE	Magnoliopsida	Plantae	220	6
11104870	Cicada orni	2022	3		TRUE	FALSE	Insecta	Animalia	216	1
7291643	Persicaria filiformis	2021	2	4	TRUE	TRUE	Magnoliopsida	Plantae	220	6
2479720	Barnardius zonarius	2021	2	3	TRUE	TRUE	Aves	Animalia	212	1
2701879	Juncus striatus	2020	2	2	TRUE	TRUE	Liliopsida	Plantae	196	6
3103158	Gamochaeta americana	2021	2	2	TRUE	TRUE	Magnoliopsida	Plantae	220	6
1626096	Ceratitis capitata	2021	2		TRUE	FALSE	Insecta	Animalia	216	1
2095283	Pseudococcus longispinus	2021	2		TRUE	FALSE	Insecta	Animalia	216	1
2174528	Saitis barbipes	2021	2		TRUE	FALSE	Arachnida	Animalia	367	1
2227289	Procambarus acutus	2021	2		TRUE	FALSE	Malacostraca	Animalia	229	1
2684120	Sequoiadendron giganteum	2021	2		TRUE	FALSE	Pinopsida	Plantae	194	6
2856457	Allium triquetrum	2021	2		TRUE	FALSE	Liliopsida	Plantae	196	6
2857449	Allium ramosum	2020	2		TRUE	FALSE	Liliopsida	Plantae	196	6
2868827	Zantedeschia aethiopica	2020	2		TRUE	FALSE	Liliopsida	Plantae	196	6
2890739	Geranium versicolor	2020	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3638793	Bupleurum fruticosum	2021	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
4484009	Tremulicerus distinguendus	2021	2		TRUE	FALSE	Insecta	Animalia	216	1
5377395	Matthiola longipetala	2020	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
5712981	Coccus hesperidum	2020	2		TRUE	FALSE	Insecta	Animalia	216	1
5806954	Tarsostenus carus	2020	2		TRUE	FALSE	Insecta	Animalia	216	1
5855746	Meretrix lyrata	2022	2		TRUE	FALSE	Bivalvia	Animalia	137	1
7100404	Acer buergerianum	2022	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
7298987	Centranthus calcitrapae	2022	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
7437751	Urtica membranacea	2021	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
9078997	Saissetia oleae	2020	2		TRUE	FALSE	Insecta	Animalia	216	1
10801424	Salvia yangii	2020	2		TRUE	FALSE	Magnoliopsida	Plantae	220	6
1998083	Ectobius vittiventris	2021	1	3	TRUE	TRUE	Insecta	Animalia	216	1
2211599	Ianiropsis serricaudis	2020	1	3	TRUE	TRUE	Malacostraca	Animalia	229	1
5041422	Sceliphron curvatum	2021	1	3	TRUE	TRUE	Insecta	Animalia	216	1
2064632	Acanalonia conica	2021	1	2	TRUE	TRUE	Insecta	Animalia	216	1
5229136	Vanellus armatus	2020	1	2	TRUE	TRUE	Aves	Animalia	212	1
5296015	Sisyrinchium angustifolium	2021	1	2	TRUE	TRUE	Liliopsida	Plantae	196	6
5329038	Sagittaria graminea	2021	1	2	TRUE	TRUE	Liliopsida	Plantae	196	6
5361977	Sedum mexicanum	2020	1	2	TRUE	TRUE	Magnoliopsida	Plantae	220	6
7309012	Callicarpa bodinieri	2020	1	2	TRUE	TRUE	Magnoliopsida	Plantae	220	6
7497356	Tagetes tenuifolia	2022	1	2	TRUE	TRUE	Magnoliopsida	Plantae	220	6
1795068	Thysanoplusia orichalcea	2021	1	1	TRUE	TRUE	Insecta	Animalia	216	1
1891245	Sufetula diminutalis	2020	1	1	TRUE	TRUE	Insecta	Animalia	216	1
2285504	Yoldia limatula	2022	1	1	TRUE	TRUE	Bivalvia	Animalia	137	1
2479925	Alisterus scapularis	2020	1	1	TRUE	TRUE	Aves	Animalia	212	1
2856681	Allium sativum	2020	1	1	TRUE	TRUE	Liliopsida	Plantae	196	6
2874512	Cucurbita ficifolia	2020	1	1	TRUE	TRUE	Magnoliopsida	Plantae	220	6
2890957	Geranium renardii	2021	1	1	TRUE	TRUE	Magnoliopsida	Plantae	220	6
2925303	Lantana camara	2020	1	1	TRUE	TRUE	Magnoliopsida	Plantae	220	6
3054366	Juglans ailantifolia	2021	1	1	TRUE	TRUE	Magnoliopsida	Plantae	220	6
3639337	Sanicula epipactis	2021	1	1	TRUE	TRUE	Magnoliopsida	Plantae	220	6
4368880	Columbella rustica	2021	1	1	TRUE	TRUE	Gastropoda	Animalia	225	1
4486432	Dieuches armatipes	2022	1	1	TRUE	TRUE	Insecta	Animalia	216	1
4530608	Clepsis peritana	2021	1	1	TRUE	TRUE	Insecta	Animalia	216	1
5297966	Iris xiphium	2020	1	1	TRUE	TRUE	Liliopsida	Plantae	196	6
5724924	Charonia lampas	2021	1	1	TRUE	TRUE	Gastropoda	Animalia	225	1
6100941	Sturnia pagodarum	2020	1	1	TRUE	TRUE	Aves	Animalia	212	1
7278040	Thalictrum delavayi	2020	1	1	TRUE	TRUE	Magnoliopsida	Plantae	220	6
7341745	Spinus magellanicus	2020	1	1	TRUE	TRUE	Aves	Animalia	212	1
8864505	Macomopsis melo	2021	1	1	TRUE	TRUE	Bivalvia	Animalia	137	1
9139578	Aulacaspis rosae	2020	1	1	TRUE	TRUE	Insecta	Animalia	216	1
1095946	Reesa vespulae	2022	1		TRUE	FALSE	Insecta	Animalia	216	1
1411953	Carausius morosus	2022	1		TRUE	FALSE	Insecta	Animalia	216	1
1421095	Ctenolepisma lineata	2020	1		TRUE	FALSE	Insecta	Animalia	216	1
1702101	Anacridium aegyptium	2022	1		TRUE	FALSE	Insecta	Animalia	216	1
1852831	Blastobasis adustella	2020	1		TRUE	FALSE	Insecta	Animalia	216	1
1873051	Cryptoblabes gnidiella	2021	1		TRUE	FALSE	Insecta	Animalia	216	1
1941864	Paysandisia archon	2020	1		TRUE	FALSE	Insecta	Animalia	216	1
2128502	Aceria erinea	2020	1		TRUE	FALSE	Arachnida	Animalia	367	1
2157203	Steatoda nobilis	2022	1		TRUE	FALSE	Arachnida	Animalia	367	1
2294275	Eobania vermiculata	2022	1		TRUE	FALSE	Gastropoda	Animalia	225	1
2440196	Macropus rufogriseus	2021	1		TRUE	FALSE	Mammalia	Animalia	359	1
2486132	Pycnonotus leucotis	2021	1		TRUE	FALSE	Aves	Animalia	212	1
2490384	Cardinalis cardinalis	2022	1		TRUE	FALSE	Aves	Animalia	212	1
2495165	Rhea americana	2021	1		TRUE	FALSE	Aves	Animalia	212	1
2684984	Araucaria araucana	2020	1		TRUE	FALSE	Pinopsida	Plantae	194	6
2703231	Zizania latifolia	2021	1		TRUE	FALSE	Liliopsida	Plantae	196	6
2769069	Camassia leichtlinii	2021	1		TRUE	FALSE	Liliopsida	Plantae	196	6
2855823	Allium nigrum	2022	1		TRUE	FALSE	Liliopsida	Plantae	196	6
2858909	Narcissus jonquilla	2021	1		TRUE	FALSE	Liliopsida	Plantae	196	6
2868796	Zantedeschia albomaculata	2022	1		TRUE	FALSE	Liliopsida	Plantae	196	6
2926681	Lamium confertum	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2927174	Mentha requienii	2021	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2928538	Ipomoea hederacea	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2932905	Salpiglossis sinuata	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2971024	Melilotus officinalis (L.) Pallas	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2984492	Celtis australis	2021	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
2984532	Zelkova serrata	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3033888	Mahonia bealei	2021	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3034782	Smyrnium olusatrum	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3048397	Erysimum bicolor	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3065244	Euphorbia amygdaloides robbiae	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3083486	Paeonia lactiflora	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3084839	Mesembryanthemum crystallinum	2021	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3088623	Guizotia scabra	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3100375	Acanthospermum hispidum	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3121562	Artemisia sieversiana	2021	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3133446	Ammobium alatum	2021	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3151434	Symphyotrichum dumosum	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3172276	Osmanthus heterophyllus	2022	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3189836	Acer pensylvanicum	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3646556	Pterostyrax hispidus	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
3856436	Viburnum davidi	2020	1		TRUE	FALSE	Magnoliopsida	Plantae	220	6
