taxonKey	taxonName	first_year	acceptedKingdom
2226990	Pacifastacus leniusculus	2026	Animalia
2747750	Crocus luteus	2026	Plantae
2858846	Narcissus bulbocodium	2026	Plantae
3033261	Anemone coronaria	2026	Plantae
3172068	Veronica cymbalaria	2026	Plantae
5389058	Solidago altissima	2026	Plantae
5409852	Campanula erinus	2026	Plantae
6718178	Cryptachaea blattea	2026	Animalia
7341522	Phylloscopus humei	2026	Animalia
1523628	Callopistromyia annulipes	2025	Animalia
1651430	Aedes albopictus	2025	Animalia
1873890	Cadra cautella	2025	Animalia
2037991	Liguropia juniperi	2025	Animalia
2080592	Icerya purchasi	2025	Animalia
2469188	Podarcis muralis	2025	Animalia
2490384	Cardinalis cardinalis	2025	Animalia
2686157	Larix kaempferi	2025	Plantae
2700768	Luzula nivea	2025	Plantae
2705031	Festuca glauca	2025	Plantae
2705300	Avena barbata	2025	Plantae
2706406	Triticum turgidum	2025	Plantae
2718387	Bolboschoenus glaucus	2025	Plantae
2769069	Camassia leichtlinii	2025	Plantae
2772082	Muscari latifolium	2025	Plantae
2855823	Allium nigrum	2025	Plantae
2856780	Allium cristophii	2025	Plantae
2857449	Allium ramosum	2025	Plantae
2874199	Passiflora caerulea	2025	Plantae
2888797	Cephalaria gigantea	2025	Plantae
2888816	Dipsacus sativus	2025	Plantae
2890739	Geranium versicolor	2025	Plantae
2891664	Oxalis articulata	2025	Plantae
2891774	Impatiens capensis	2025	Plantae
2925562	Vitex agnus-castus	2025	Plantae
2928905	Calibrachoa parviflora	2025	Plantae
2974753	Vicia lutea	2025	Plantae
2974811	Vicia pannonica	2025	Plantae
2974811	Vicia pannonica	2025	Plantae
2985963	Deutzia crenata	2025	Plantae
3032442	Rhodotypos scandens	2025	Plantae
3033888	Mahonia bealei	2025	Plantae
3046015	Cardamine corymbosa	2025	Plantae
3054110	Aubrieta columnae	2025	Plantae
3065244	Euphorbia amygdaloides subsp. robbiae (Turrill) Stace	2025	Plantae
3069460	Euphorbia oblongata	2025	Plantae
3083647	Spinacia oleracea	2025	Plantae
3083888	Teloxys aristata	2025	Plantae
3083903	Chenopodium opulifolium	2025	Plantae
3096529	Mauranthemum paludosum	2025	Plantae
3131367	Helichrysum petiolare	2025	Plantae
3131614	Helichrysum italicum	2025	Plantae
3134867	Catananche caerulea	2025	Plantae
3140436	Lactuca macrophylla	2025	Plantae
3152372	Malva pusilla	2025	Plantae
3940423	Malva thuringiaca	2025	Plantae
4063383	Trachystemon orientale	2025	Plantae
4086523	Verbena incompta	2025	Plantae
4125308	Panicum schinzii	2025	Plantae
4264680	Myocastor coypus	2025	Animalia
4565134	Cernuella aginnica	2025	Animalia
4990175	Rhyzobius lophanthae	2025	Animalia
5290242	Gaudinia fragilis	2025	Plantae
5298406	Iris reticulata	2025	Plantae
5298765	Iris foetidissima	2025	Plantae
5304187	Triteleia laxa	2025	Plantae
5371709	Adonis annua	2025	Plantae
5410826	Campanula carpatica	2025	Plantae
5421116	Tribulus terrestris	2025	Plantae
5538946	Pimpinella peregrina	2025	Plantae
5831060	Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.	2025	Plantae
6035638	Chenopodium probstii	2025	Plantae
6109637	Cynodon dactylon	2025	Plantae
6374953	Helleborus orientalis	2025	Plantae
6391417	Rumex thyrsiflorus	2025	Plantae
7158449	Polystichum polyblepharon	2025	Plantae
7266343	Salix purpurea subsp. purpurea	2025	Plantae
7738766	Miscanthus sacchariflorus	2025	Plantae
7881150	Polygonatum hybridum	2025	Plantae
8021567	Hypericum olympicum	2025	Plantae
8190231	Corbicula fluminea	2025	Animalia
8332019	Hordeum distichon	2025	Plantae
9376410	Delosperma cooperi	2025	Plantae
2029273	Zygina nivea	2024	Animalia
2036052	Hishimonus hamatus	2024	Animalia
2217982	Crangonyx pseudogracilis	2024	Animalia
2493618	Lonchura striata	2024	Animalia
2650903	Onoclea sensibilis	2024	Plantae
2855893	Allium roseum	2024	Plantae
2874570	Cucumis melo	2024	Plantae
2888553	Dicentra formosa	2024	Plantae
2888564	Lamprocapnos spectabilis	2024	Plantae
2888859	Muehlenbeckia complexa	2024	Plantae
2889304	Persicaria capitata	2024	Plantae
2928755	Datura innoxia	2024	Plantae
2965531	Medicago polymorpha	2024	Plantae
2986022	Philadelphus pubescens	2024	Plantae
3040232	Populus deltoides	2024	Plantae
3067054	Euphorbia humifusa	2024	Plantae
3088623	Guizotia scabra	2024	Plantae
3103082	Gamochaeta pensylvanica	2024	Plantae
3103158	Gamochaeta americana	2024	Plantae
3172348	Fraxinus pennsylvanica	2024	Plantae
3172549	Campsis radicans	2024	Plantae
3642531	Chaerophyllum aureum	2024	Plantae
3883959	Salvia viridis	2024	Plantae
4201709	Sempervivum arachnoideum	2024	Plantae
4487598	Closterotomus trivialis	2024	Animalia
5231398	Leiothrix lutea	2024	Animalia
5285565	Pinus pinaster	2024	Plantae
5289998	Digitaria ciliaris	2024	Plantae
5299590	Tulipa urumiensis	2024	Plantae
5341548	Gilia capitata	2024	Plantae
5358907	Trifolium alexandrinum	2024	Plantae
5380041	Ricinus communis	2024	Plantae
5384334	Amaranthus viridis	2024	Plantae
5387639	Aster ageratoides	2024	Plantae
5671747	Cenchrus alopecuroides	2024	Plantae
6476679	Caenoplana variegata	2024	Animalia
6476704	Parakontikia ventrolineata	2024	Animalia
7157952	Dryopteris erythrosora	2024	Plantae
7461690	Phragmidium mexicanum	2024	Fungi
8116963	Acanthus hungaricus	2024	Plantae
8537667	Chondrilla juncea	2024	Plantae
9177060	Allium scorodoprasum	2024	Plantae
9496048	Spatula hottentota	2024	Animalia
11104870	Cicada orni	2024	Animalia
1626096	Ceratitis capitata	2023	Animalia
2000204	Periplaneta australasiae	2023	Animalia
2026623	Pediopsoides sharmai	2023	Animalia
2047706	Stragania apicalis	2023	Animalia
2072196	Aphis nerii	2023	Animalia
2169430	Macaroeris nidicolens	2023	Animalia
2477411	Tachymarptis melba	2023	Animalia
2479851	Pyrrhura perlata	2023	Animalia
2480649	Gypaetus barbatus	2023	Animalia
2498094	Anas capensis	2023	Animalia
2598552	Seifertia azaleae	2023	Fungi
2704038	Muhlenbergia mexicana	2023	Plantae
2705081	Panicum virgatum	2023	Plantae
2765272	Tradescantia virginiana	2023	Plantae
2927727	Phlox subulata	2023	Plantae
2927744	Phlox paniculata	2023	Plantae
2928034	Nemophila maculata	2023	Plantae
2928775	Nicotiana rustica	2023	Plantae
3114229	Rudbeckia laciniata	2023	Plantae
3169331	Lysimachia clethroides	2023	Plantae
3190544	Rhus glabra	2023	Plantae
3896282	Teucrium hircanicum	2023	Plantae
3922888	Anemone sylvestris	2023	Plantae
3935079	Malva arborea	2023	Plantae
3973001	Vicia lens	2023	Plantae
4048240	Elaeagnus submacrophylla	2023	Plantae
4067112	Symphytum orientale	2023	Plantae
4487370	Tropidosteptes pacificus	2023	Animalia
4553469	Leiobunum	2023	Animalia
4564216	Otala punctata	2023	Animalia
5191102	Monacha cantiana	2023	Animalia
5228033	Chrysolophus amherstiae	2023	Animalia
5289912	Polypogon fugax	2023	Plantae
5332305	Ostrya carpinifolia	2023	Plantae
5341394	Perilla frutescens	2023	Plantae
5359510	Trifolium tomentosum	2023	Plantae
5569367	Scaevola aemula	2023	Plantae
5598598	Lonicera acuminata	2023	Plantae
5682465	Erica carnea	2023	Plantae
5828216	Cenchrus flaccidus	2023	Plantae
7315063	Pseudofumaria alba	2023	Plantae
7393329	Cucurbita moschata	2023	Plantae
8052025	Dicyphus escalerae	2023	Animalia
9018536	Koenigia campanulata	2023	Plantae
9254355	Lithotoma axillaris	2023	Plantae
1325120	Crematogaster scutellaris	2022	Animalia
1411953	Carausius morosus	2022	Animalia
1713418	Locusta migratoria	2022	Animalia
2039881	Macropsis vicina	2022	Animalia
2177741	Hasarius adansoni	2022	Animalia
2225772	Hemigrapsus sanguineus	2022	Animalia
2726538	Carex muskingumensis	2022	Plantae
2747718	Crocus speciosus	2022	Plantae
2765221	Tradescantia pallida	2022	Plantae
2858581	Narcissus poeticus	2022	Plantae
2870583	Pistia stratiotes	2022	Plantae
2879098	Quercus ilex	2022	Plantae
2914590	Galium murale	2022	Plantae
2993761	Rubus spectabilis	2022	Plantae
3020871	Prunus lusitanica	2022	Plantae
3033289	Trollius europaeus	2022	Plantae
3044912	Alyssum montanum	2022	Plantae
3048532	Erysimum marshallii	2022	Plantae
3064056	Euphorbia palustris	2022	Plantae
3084742	Claytonia sibirica	2022	Plantae
3085421	Dianthus barbatus	2022	Plantae
3104106	Sanvitalia procumbens	2022	Plantae
3111754	Zinnia elegans	2022	Plantae
3111754	Zinnia elegans	2022	Plantae
3152521	Althaea hirsuta	2022	Plantae
3170862	Scrophularia peregrina	2022	Plantae
3924221	Helleborus argutifolius	2022	Plantae
5179027	Scutigera coleoptrata	2022	Animalia
5298069	Iris germanica	2022	Plantae
5328909	Sagittaria latifolia	2022	Plantae
5330085	Wolffia columbiana	2022	Plantae
5371753	Visnaga daucoides	2022	Plantae
5392859	Echinops bannaticus	2022	Plantae
5396125	Eurybia divaricata	2022	Plantae
5530881	Corydalis cava	2022	Plantae
6950681	Megabruchidius dorsalis	2022	Animalia
7671397	Phuopsis stylosa	2022	Plantae
7740617	Skimmia japonica	2022	Plantae
7989836	Symphytum caucasicum	2022	Plantae
8042568	Artemisia abrotanum	2022	Plantae
8091998	Gypsophila vaccaria	2022	Plantae
