taxonKey	taxonName	first_year	acceptedKingdom
2226990	Pacifastacus leniusculus	2026	Animalia
2767271	Scilla luciliae	2026	Plantae
2857017	Allium paradoxum	2026	Plantae
3046015	Cardamine corymbosa	2026	Plantae
3886505	Phlomis russeliana	2026	Plantae
6374953	Helleborus orientalis	2026	Plantae
1622658	Rhagoletis completa	2025	Animalia
1626096	Ceratitis capitata	2025	Animalia
1651430	Aedes albopictus	2025	Animalia
2037991	Liguropia juniperi	2025	Animalia
2149679	Holocnemus pluchei	2025	Animalia
2684191	Taxodium distichum	2025	Plantae
2686157	Larix kaempferi	2025	Plantae
2704757	Sporobolus indicus	2025	Plantae
2705300	Avena barbata	2025	Plantae
2718387	Bolboschoenus glaucus	2025	Plantae
2772082	Muscari latifolium	2025	Plantae
2857449	Allium ramosum	2025	Plantae
2888437	Papaver orientale	2025	Plantae
2890739	Geranium versicolor	2025	Plantae
2890972	Geranium wallichianum	2025	Plantae
2891664	Oxalis articulata	2025	Plantae
2891677	Oxalis dillenii	2025	Plantae
2891707	Oxalis debilis	2025	Plantae
2891755	Oxalis latifolia	2025	Plantae
2927230	Stachys byzantina	2025	Plantae
2965331	Medicago varia	2025	Plantae
2985963	Deutzia crenata	2025	Plantae
3034046	Persea americana	2025	Plantae
3048532	Erysimum marshallii	2025	Plantae
3065244	Euphorbia amygdaloides subsp. robbiae (Turrill) Stace	2025	Plantae
3069460	Euphorbia oblongata	2025	Plantae
3083888	Teloxys aristata	2025	Plantae
3152560	Hibiscus trionum	2025	Plantae
4125308	Panicum schinzii	2025	Plantae
4201695	Phedimus hybridus	2025	Plantae
4484176	Cacopsylla fulguralis	2025	Animalia
5041422	Sceliphron curvatum	2025	Animalia
5289833	Nassella tenuissima	2025	Plantae
5298406	Iris reticulata	2025	Plantae
5298765	Iris foetidissima	2025	Plantae
5304187	Triteleia laxa	2025	Plantae
5370380	Dasiphora fruticosa	2025	Plantae
5384390	Amaranthus cruentus	2025	Plantae
