taxonKey	taxonName	first_year	acceptedKingdom
2481936	Mycteria ibis	2026	Animalia
3170862	Scrophularia peregrina	2026	Plantae
4400961	Badonnelia titei	2026	Animalia
5415056	Forsythia suspensa	2026	Plantae
7327719	Erica darleyensis	2026	Plantae
8044946	Epimedium pinnatum	2026	Plantae
1043717	Cryptolaemus montrouzieri	2025	Animalia
1043978	Stelidota geminata	2025	Animalia
1276876	Ctenochares bicolorus	2025	Animalia
2000152	Periplaneta americana	2025	Animalia
2072196	Aphis nerii	2025	Animalia
2441533	Centrochelys sulcata	2025	Animalia
2479308	Platycercus adscitus	2025	Animalia
2684120	Sequoiadendron giganteum	2025	Plantae
2805420	Spiranthes cernua	2025	Plantae
3067054	Euphorbia humifusa	2025	Plantae
3069053	Euphorbia verrucosa	2025	Plantae
3105508	Andryala integrifolia	2025	Plantae
3133446	Ammobium alatum	2025	Plantae
3144603	Brachyscome iberidifolia	2025	Plantae
3171302	Mazus miquelii	2025	Plantae
3172206	Veronicastrum virginicum	2025	Plantae
4121791	Molinia arundinacea	2025	Plantae
5298406	Iris reticulata	2025	Plantae
5361841	Pilea microphylla	2025	Plantae
5362063	Crassula ovata	2025	Plantae
5411453	Campanula medium	2025	Plantae
5569367	Scaevola aemula	2025	Plantae
5669632	Pilea peperomioides	2025	Plantae
7987143	Anoplophora chinensis	2025	Animalia
1873903	Cadra figulilella	2024	Animalia
1995489	Panchlora nivea	2024	Animalia
2295425	Zonitoides arboreus	2024	Animalia
2320998	Boccardiella hamata	2024	Animalia
2376461	Tridentiger bifasciatus	2024	Animalia
2458538	Zamenis longissimus	2024	Animalia
2705565	Paspalum dilatatum	2024	Plantae
2714656	Cyperus congestus	2024	Plantae
2716838	Eleocharis engelmannii	2024	Plantae
2858846	Narcissus bulbocodium	2024	Plantae
2865524	Vallisneria australis	2024	Plantae
2889320	Persicaria virginiana	2024	Plantae
2927045	Salvia microphylla	2024	Plantae
2928666	Dichondra micrantha	2024	Plantae
2931104	Solanum pseudocapsicum	2024	Plantae
2945513	Cladrastis kentukea	2024	Plantae
2987948	Neillia tanakae	2024	Plantae
3021357	Prunus nipponica	2024	Plantae
3054110	Aubrieta columnae	2024	Plantae
3082274	Cornus kousa	2024	Plantae
3088623	Guizotia scabra	2024	Plantae
3118254	Tanacetum balsamita	2024	Plantae
3121088	Artemisia alba	2024	Plantae
3188735	Lythrum virgatum	2024	Plantae
3189836	Acer pensylvanicum	2024	Plantae
4131042	Bromus hordeaceus subsp. longipedicellatus Spalton	2024	Plantae
5073820	Drosophila suzukii	2024	Animalia
5217334	Xenopus laevis	2024	Animalia
5285750	Pinus contorta	2024	Plantae
5289492	Typha minima	2024	Plantae
5290192	Cenchrus longisetus	2024	Plantae
5333408	Erica vagans	2024	Plantae
5341540	Gilia achilleifolia	2024	Plantae
5354530	Chamaecytisus hirsutus	2024	Plantae
5383971	Blitum capitatum	2024	Plantae
