taxonKey	taxonName	first_year	acceptedKingdom
1247584	Stenopelmus rufinasus	2026	Animalia
2480353	Pelecanus crispus	2026	Animalia
8889878	Elaphe taeniura	2026	Animalia
1043978	Stelidota geminata	2025	Animalia
1579447	Exaireta spinigera	2025	Animalia
1852787	Blastobasis lacticolella	2025	Animalia
1890065	Musotima nitidalis	2025	Animalia
1994767	Pycnoscelus surinamensis	2025	Animalia
2157203	Steatoda nobilis	2025	Animalia
2162537	Oecobius navus	2025	Animalia
2703740	Bromus rubens	2025	Plantae
2705300	Avena barbata	2025	Plantae
2927045	Salvia microphylla	2025	Plantae
2985986	Hydrangea arborescens	2025	Plantae
3033888	Mahonia bealei	2025	Plantae
3046015	Cardamine corymbosa	2025	Plantae
3046851	Sisymbrium irio	2025	Plantae
3083920	Chenopodium berlandieri	2025	Plantae
3754353	Saxifraga urbium	2025	Plantae
4142326	Achnatherum calamagrostis	2025	Plantae
4461680	Bruchidius imbricornis	2025	Animalia
4496869	Neuroterus saliens	2025	Animalia
5240299	Amanita inopinata	2025	Fungi
5329038	Sagittaria graminea	2025	Plantae
5363627	Aronia melanocarpa	2025	Plantae
5384359	Amaranthus powellii	2025	Plantae
5384458	Gypsophila paniculata	2025	Plantae
5791733	Anax ephippiger	2025	Animalia
6476704	Parakontikia ventrolineata	2025	Animalia
7393329	Cucurbita moschata	2025	Plantae
7437751	Urtica membranacea	2025	Plantae
7992320	Phorcus lineatus	2025	Animalia
9022569	Chrysopelea ornata	2025	Animalia
1316908	Linepithema humile	2024	Animalia
1577153	Hermetia illucens	2024	Animalia
1683815	Rhacocleis annulata	2024	Animalia
2026623	Pediopsoides sharmai	2024	Animalia
2049688	Adelges tardus	2024	Animalia
2077209	Idiopterus nephrelepidis	2024	Animalia
2107724	Mantispa styriaca	2024	Animalia
2172885	Evarcha jucunda	2024	Animalia
2204981	Trichorhina tomentosa	2024	Animalia
2227289	Procambarus acutus	2024	Animalia
2294129	Rumina decollata	2024	Animalia
2294275	Eobania vermiculata	2024	Animalia
2295425	Zonitoides arboreus	2024	Animalia
2296805	Trochoidea elegans	2024	Animalia
2427555	Hyla meridionalis	2024	Animalia
2480649	Gypaetus barbatus	2024	Animalia
2703041	Arundo donax	2024	Plantae
2739071	Trachycarpus fortunei	2024	Plantae
2879520	Quercus conferta	2024	Plantae
2890651	Geranium psilostemon	2024	Plantae
2928905	Calibrachoa parviflora	2024	Plantae
2971024	Melilotus officinalis	2024	Plantae
2984532	Zelkova serrata	2024	Plantae
3002530	Rosa gallica	2024	Plantae
3032980	Diospyros lotus	2024	Plantae
3048532	Erysimum marshallii	2024	Plantae
3138195	Eutrochium maculatum	2024	Plantae
3141890	Cyclachaena xanthiifolia	2024	Plantae
3172099	Veronica austriaca	2024	Plantae
3188735	Lythrum virgatum	2024	Plantae
3188830	Oenothera stricta	2024	Plantae
3189835	Acer macrophyllum	2024	Plantae
4123394	Festuca guestfalica subsp. hirtula (Hack. ex Travis) Dengler	2024	Plantae
4271356	Heracleum sphondylium subsp. sibiricum (L.) Simonk.	2024	Plantae
4423428	Yersinella raymondii	2024	Animalia
4487370	Tropidosteptes pacificus	2024	Animalia
5275398	Pteris vittata	2024	Plantae
5285565	Pinus pinaster	2024	Plantae
5290143	Brachypodium distachyon	2024	Plantae
5334275	Lonicera morrowii	2024	Plantae
5341558	Gilia tricolor	2024	Plantae
5371605	Tolmiea menziesii	2024	Plantae
5372614	Salix eriocephala	2024	Plantae
5383971	Blitum capitatum	2024	Plantae
5391845	Bidens pilosa	2024	Plantae
5392270	Cichorium pumilum	2024	Plantae
5414932	Chelone obliqua	2024	Plantae
5420957	Clarkia unguiculata	2024	Plantae
5752143	Bruchus rufimanus	2024	Animalia
