taxonKey	taxonName	kingdom	year	em_status	dr_1	dr_2	dr_3	dr_4
1017419	Oxidus gracilis (C.L.Koch, 1847)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
1047536	Leptinotarsa decemlineata (Say, 1824)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
1309652	Dryocosmus kuriphilus Yasumatsu, 1951	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
1311477	Vespa velutina Lepeletier, 1836	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
1421091	Lepisma saccharinum Linnaeus, 1758	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
1622658	Rhagoletis completa Cresson, 1929	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
1690429	Meconema meridionale Costa, 1860	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
1718308	Acheta domesticus (Linnaeus, 1758)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
1749449	Cameraria ohridella Deschka & Dimić, 1986	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
1932752	Cacyreus marshalli Butler, 1897	Animalia	2022	1	TRUE	FALSE	FALSE	FALSE
1997215	Blattella germanica (Linnaeus, 1767)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2008616	Empicoris rubromaculatus (Blackburn, 1888)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2020655	Corythucha ciliata (Say, 1832)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2020686	Stephanitis takeyai Drake & Maa, 1955	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2037925	Orientus ishidae (Matsumura, 1902)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2038171	Opsius stactogalus Fieber, 1866	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2041682	Graphocephala fennahi Young, 1977	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2078852	Nezara viridula (Linnaeus, 1758)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2095283	Pseudococcus longispinus (Targioni Tozzetti, 1867)	Animalia	2022	1	FALSE	FALSE	FALSE	TRUE
2153287	Zoropsis spinimana (Dufour, 1820)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2157203	Steatoda nobilis (Thorell, 1875)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2157245	Steatoda grossa (C.L.Koch, 1838)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2164198	Cheiracanthium mildei L.Koch, 1864	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2225776	Eriocheir sinensis H.Milne Edwards, 1853	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2294277	Theba pisana (O.F.Müller, 1774)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2295442	Limacus flavus (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2362030	Ctenopharyngodon idella (Valenciennes, 1844)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2362868	Pseudorasbora parva (Temminck & Schlegel, 1846)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2426661	Pelophylax ridibundus (Pallas, 1771)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2435035	Felis catus Linnaeus, 1758	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2436940	Oryctolagus cuniculus (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2437450	Tamias sibiricus (Laxmann, 1769)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2439261	Rattus norvegicus (Berkenhout, 1769)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2443002	Trachemys scripta (Thunberg In Schoepff, 1792)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2479226	Psittacula krameri (Scopoli, 1769)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2479407	Myiopsitta monachus (Boddaert, 1783)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2479798	Melopsittacus undulatus (Shaw, 1805)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2479977	Nymphicus hollandicus (Kerr, 1792)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2494303	Serinus canaria (Linnaeus, 1758)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2495414	Columba livia J.F.Gmelin, 1789	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498034	Anser cygnoides (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498252	Alopochen aegyptiaca (Linnaeus, 1766)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2498259	Aythya nyroca (Güldenstädt, 1770)	Animalia	2022	1	FALSE	FALSE	FALSE	FALSE
2498344	Cygnus atratus (Latham, 1790)	Animalia	2022	3	FALSE	TRUE	FALSE	TRUE
2498387	Aix sponsa (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2498388	Aix galericulata (Linnaeus, 1758)	Animalia	2022	2	FALSE	TRUE	FALSE	FALSE
2650107	Azolla filiculoides Lam.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2650827	Cyrtomium fortunei J.Sm.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2683866	Chamaecyparis lawsoniana (A.Murray bis) Parl.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2684191	Taxodium distichum (L.) Rich.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2687210	Tsuga heterophylla (Raf.) Sarg.	Plantae	2022	1	FALSE	FALSE	FALSE	TRUE
2688189	Selaginella kraussiana (Kunze) A.Braun	Plantae	2022	1	FALSE	FALSE	FALSE	TRUE
2702084	Juncus tenuis Willd.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702727	Festuca myuros L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2702808	Echinochloa crus-galli (L.) P.Beauv.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2703698	Bromus sitchensis Trin.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2703712	Bromus carinatus Hook. & Arn.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
