taxonKey	year	em_status	dr_1	dr_2	dr_3	dr_4
1017419	2020	1	TRUE	FALSE	FALSE	FALSE
1031394	2020	1	FALSE	FALSE	FALSE	FALSE
1031400	2020	0	TRUE	FALSE	TRUE	FALSE
1031684	2020	0	TRUE	FALSE	TRUE	FALSE
1031742	2020	1	TRUE	FALSE	FALSE	FALSE
1047536	2020	3	FALSE	TRUE	FALSE	TRUE
1095946	2020	1	FALSE	FALSE	FALSE	FALSE
1152186	2020	3	FALSE	TRUE	FALSE	TRUE
1309600	2020	1	FALSE	FALSE	FALSE	FALSE
1309606	2020	1	FALSE	FALSE	FALSE	FALSE
1309635	2020	1	FALSE	FALSE	FALSE	FALSE
1311477	2020	3	FALSE	TRUE	FALSE	TRUE
1346919	2020	3	FALSE	TRUE	FALSE	TRUE
1421091	2020	3	FALSE	TRUE	FALSE	TRUE
1421095	2020	3	FALSE	TRUE	FALSE	TRUE
1622599	2020	1	FALSE	FALSE	FALSE	FALSE
1622658	2020	3	FALSE	TRUE	FALSE	TRUE
1690429	2020	2	FALSE	TRUE	FALSE	FALSE
1702101	2020	1	TRUE	FALSE	FALSE	FALSE
1718308	2020	0	FALSE	FALSE	TRUE	FALSE
1719204	2020	0	TRUE	FALSE	TRUE	FALSE
1749449	2020	2	FALSE	TRUE	FALSE	FALSE
1997215	2020	3	FALSE	TRUE	FALSE	TRUE
2010226	2020	1	FALSE	FALSE	FALSE	FALSE
2020655	2020	2	FALSE	TRUE	FALSE	FALSE
2020686	2020	0	FALSE	FALSE	TRUE	FALSE
2020779	2020	1	TRUE	FALSE	FALSE	FALSE
2037925	2020	3	FALSE	TRUE	FALSE	TRUE
2038171	2020	2	FALSE	TRUE	FALSE	FALSE
2041682	2020	3	FALSE	TRUE	FALSE	TRUE
2049661	2020	2	FALSE	TRUE	FALSE	FALSE
2077985	2020	1	TRUE	FALSE	FALSE	FALSE
2078852	2020	3	FALSE	TRUE	FALSE	TRUE
2091932	2020	1	FALSE	FALSE	FALSE	FALSE
2092040	2020	0	FALSE	FALSE	TRUE	FALSE
2142456	2020	1	TRUE	FALSE	FALSE	FALSE
2149679	2020	1	FALSE	FALSE	FALSE	FALSE
2153287	2020	3	FALSE	TRUE	FALSE	TRUE
2164198	2020	3	FALSE	TRUE	FALSE	TRUE
2174528	2020	1	FALSE	FALSE	FALSE	FALSE
2188249	2020	1	TRUE	FALSE	FALSE	FALSE
2226990	2020	0	TRUE	FALSE	TRUE	FALSE
2227300	2020	1	TRUE	FALSE	FALSE	FALSE
2294275	2020	1	TRUE	FALSE	FALSE	FALSE
2294284	2020	3	FALSE	TRUE	FALSE	TRUE
2295442	2020	3	FALSE	TRUE	FALSE	TRUE
2297108	2020	1	TRUE	FALSE	FALSE	FALSE
2337607	2020	1	TRUE	FALSE	FALSE	FALSE
2362868	2020	1	FALSE	FALSE	FALSE	FALSE
2362881	2020	1	FALSE	FALSE	FALSE	FALSE
2379089	2020	1	FALSE	FALSE	FALSE	FALSE
2426640	2020	0	TRUE	FALSE	TRUE	FALSE
2426661	2020	2	FALSE	TRUE	FALSE	FALSE
2427091	2020	0	TRUE	FALSE	TRUE	FALSE
2435035	2020	2	FALSE	TRUE	FALSE	FALSE
2436940	2020	2	FALSE	TRUE	FALSE	FALSE
2437232	2020	0	TRUE	FALSE	TRUE	FALSE
2437282	2020	1	TRUE	FALSE	FALSE	FALSE
2437450	2020	2	FALSE	TRUE	FALSE	FALSE
2439261	2020	2	FALSE	TRUE	FALSE	FALSE
2439270	2020	0	TRUE	FALSE	TRUE	FALSE
2440946	2020	1	TRUE	FALSE	FALSE	FALSE
2441905	2020	1	TRUE	FALSE	FALSE	FALSE
2442843	2020	1	TRUE	FALSE	FALSE	FALSE
2443002	2020	2	FALSE	TRUE	FALSE	FALSE
2443079	2020	3	FALSE	TRUE	FALSE	TRUE
2443133	2020	1	TRUE	FALSE	FALSE	FALSE
2455615	2020	1	TRUE	FALSE	FALSE	FALSE
2465380	2020	1	TRUE	FALSE	FALSE	FALSE
2474051	2020	1	TRUE	FALSE	FALSE	FALSE
2479226	2020	3	FALSE	TRUE	FALSE	TRUE
2479311	2020	0	FALSE	FALSE	TRUE	FALSE
2479329	2020	0	FALSE	FALSE	TRUE	FALSE
2479407	2020	2	FALSE	TRUE	FALSE	FALSE
2479544	2020	3	FALSE	TRUE	FALSE	TRUE
2479798	2020	2	FALSE	TRUE	FALSE	FALSE
2479964	2020	0	FALSE	FALSE	TRUE	FALSE
2479977	2020	2	FALSE	TRUE	FALSE	FALSE
2480089	2020	1	FALSE	FALSE	FALSE	FALSE
2480181	2020	1	TRUE	FALSE	FALSE	FALSE
2480350	2020	0	TRUE	FALSE	TRUE	FALSE
2480352	2020	0	TRUE	FALSE	TRUE	FALSE
2480410	2020	0	TRUE	FALSE	TRUE	FALSE
2480772	2020	0	TRUE	FALSE	TRUE	FALSE
2486151	2020	0	FALSE	FALSE	TRUE	FALSE
2489010	2020	1	TRUE	FALSE	FALSE	FALSE
2493598	2020	1	TRUE	FALSE	FALSE	FALSE
2493633	2020	0	TRUE	FALSE	TRUE	FALSE
2493660	2020	0	TRUE	FALSE	TRUE	FALSE
2494303	2020	3	FALSE	TRUE	FALSE	TRUE
2495414	2020	2	FALSE	TRUE	FALSE	FALSE
2495494	2020	0	TRUE	FALSE	TRUE	FALSE
2498010	2020	0	TRUE	FALSE	TRUE	FALSE
2498034	2020	1	FALSE	FALSE	FALSE	FALSE
2498035	2020	1	FALSE	FALSE	FALSE	FALSE
2498046	2020	0	FALSE	FALSE	TRUE	FALSE
2498065	2020	0	TRUE	FALSE	TRUE	FALSE
2498090	2020	1	FALSE	FALSE	FALSE	FALSE
2498167	2020	3	FALSE	TRUE	FALSE	TRUE
2498252	2020	3	FALSE	TRUE	FALSE	TRUE
2498305	2020	1	FALSE	FALSE	FALSE	FALSE
2498344	2020	0	FALSE	FALSE	TRUE	FALSE
2498384	2020	1	TRUE	FALSE	FALSE	FALSE
2498387	2020	2	FALSE	TRUE	FALSE	FALSE
2498388	2020	2	FALSE	TRUE	FALSE	FALSE
2498393	2020	0	TRUE	FALSE	TRUE	FALSE
2516809	2020	0	TRUE	FALSE	TRUE	FALSE
2650827	2020	2	FALSE	TRUE	FALSE	FALSE
2650829	2020	1	FALSE	FALSE	FALSE	FALSE
2651816	2020	1	TRUE	FALSE	FALSE	FALSE
2651826	2020	0	TRUE	FALSE	TRUE	FALSE
2677047	2020	1	FALSE	FALSE	FALSE	FALSE
2683866	2020	3	FALSE	TRUE	FALSE	TRUE
