taxonKey	year_2022_em_status_occs_Flanders	year_2022_em_status_occupancy_Flanders	year_2022_em_status_occs_FlandersNatura2000	year_2022_em_status_occupancy_FlandersNatura2000	year_2023_em_status_occs_Flanders	year_2023_em_status_occupancy_Flanders	year_2023_em_status_occs_FlandersNatura2000	year_2023_em_status_occupancy_FlandersNatura2000	year_2024_em_status_occs_Flanders	year_2024_em_status_occupancy_Flanders	year_2024_em_status_occs_FlandersNatura2000	year_2024_em_status_occupancy_FlandersNatura2000	mean_growth	taxonName	class	clasKey	kingdom
1017419	3	3	3	3	3	3	3	3	3	3	3	3	1.8470321701254973	Oxidus gracilis (C.L.Koch, 1847)	Diplopoda	361	Animalia
1031394	1	1	1	1	1	1	1	1	1	1	1	1	0.889944939052963	Ectopsocus petersi Smithers, 1978	Insecta	216	Animalia
1031400	0	0	1	1	0	0	1	1	0	0	1	1	0.4069454361817581	Ectopsocus briggsi McLachlan, 1899	Insecta	216	Animalia
1031684	3	3	3	3	1	3	2	1	1	3	3	3	0.9906673549938037	Lepinotus patruelis Pearman, 1931	Insecta	216	Animalia
1031742	2	2	1	1	1	1	1	1	3	3	3	3		Dorypteryx domestica (Smithers, 1958)	Insecta	216	Animalia
1047536	3	3	3	3	3	3	3	3	3	1	1	3	1.29797231204061	Leptinotarsa decemlineata (Say, 1824)	Insecta	216	Animalia
1095946	1	1	1	1	3	3	3	3	2	2	3	3		Reesa vespulae (Milliron, 1939)	Insecta	216	Animalia
1111797	1	1			3	3			1	1				Chlorophorus annularis (Fabricius, 1787)	Insecta	216	Animalia
1309600	0	0	0	0	0	0	0	0	0	0	0	0	0.6010293419202082	Andricus kollari (Hartig, 1843)	Insecta	216	Animalia
1309606	3	3			1	1			1	1				Andricus grossulariae Giraud, 1859	Insecta	216	Animalia
1309652	0	1	0	1	1	1	1	1	1	1	1	1	0.6291937785864095	Dryocosmus kuriphilus Yasumatsu, 1951	Insecta	216	Animalia
1311477	3	3	3	2	3	3	3	2	3	3	3	2	2.5802837278277932	Vespa velutina Lepeletier, 1836	Insecta	216	Animalia
1316908	3	2			3	2			1	2			1.121829021225056	Linepithema humile (Mayr, 1868)	Insecta	216	Animalia
1346919	0	0	1	3	0	0	3	3	0	0	1	1	0.13553434457299113	Isodontia mexicana (de Saussure, 1867)	Insecta	216	Animalia
1411953	1	1	1	1	1	1	1	1	3	3	3	3		Carausius morosus Brunner von Wattenwyl, 1907	Insecta	216	Animalia
1421091	3	3	2	3	3	3	0	1	3	3	0	1	1.3212804364296749	Lepisma saccharinum Linnaeus, 1758	Insecta	216	Animalia
