scientificName,n_prot_areas,mean_coverage,taxonKey,speciesKey,kingdom,phylum,order,class,genus,family,species,rank,includes
Ailanthus altissima (Mill.) Swingle,3,,3190653,3190653,Plantae,Tracheophyta,Sapindales,Magnoliopsida,Ailanthus,Simaroubaceae,Ailanthus altissima,SPECIES,3190653: Ailanthus altissima (Mill.) Swingle
"Alopochen aegyptiaca (Linnaeus, 1766)",3,,2498252,2498252,Animalia,Chordata,Anseriformes,Aves,Alopochen,Anatidae,Alopochen aegyptiaca,SPECIES,"2498252: Alopochen aegyptiaca (Linnaeus, 1766)"
"Eriocheir sinensis H.Milne Edwards, 1853",3,,2225776,2225776,Animalia,Arthropoda,Decapoda,Malacostraca,Eriocheir,Varunidae,Eriocheir sinensis,SPECIES,"2225776: Eriocheir sinensis H.Milne Edwards, 1853 | 10020734: BOLD:AAB0750"
"Faxonius limosus (Rafinesque, 1817)",3,,8909595,8909595,Animalia,Arthropoda,Decapoda,Malacostraca,Faxonius,Cambaridae,Faxonius limosus,SPECIES,"2227000: Orconectes limosus (Rafinesque, 1817) | 8909595: Faxonius limosus (Rafinesque, 1817)"
Heracleum mantegazzianum Sommier & Levier,3,,3034825,3034825,Plantae,Tracheophyta,Apiales,Magnoliopsida,Heracleum,Apiaceae,Heracleum mantegazzianum,SPECIES,3034825: Heracleum mantegazzianum Sommier & Levier
Hydrocotyle ranunculoides L.fil.,3,,7978544,7978544,Plantae,Tracheophyta,Apiales,Magnoliopsida,Hydrocotyle,Araliaceae,Hydrocotyle ranunculoides,SPECIES,7978544: Hydrocotyle ranunculoides L.fil.
Impatiens glandulifera Royle,3,,2891770,2891770,Plantae,Tracheophyta,Ericales,Magnoliopsida,Impatiens,Balsaminaceae,Impatiens glandulifera,SPECIES,2891770: Impatiens glandulifera Royle | 2891771: Impatiens roylei Walp.
"Lepomis gibbosus (Linnaeus, 1758)",3,,2394486,2394486,Animalia,Chordata,Perciformes,,Lepomis,Centrarchidae,Lepomis gibbosus,SPECIES,"2394486: Lepomis gibbosus (Linnaeus, 1758)"
"Lithobates catesbeianus (Shaw, 1802)",3,,2427091,2427091,Animalia,Chordata,Anura,Amphibia,Lithobates,Ranidae,Lithobates catesbeianus,SPECIES,"2427091: Lithobates catesbeianus (Shaw, 1802)"
Myriophyllum aquaticum (Vell.) Verdc.,3,,5361785,5361785,Plantae,Tracheophyta,Saxifragales,Magnoliopsida,Myriophyllum,Haloragaceae,Myriophyllum aquaticum,SPECIES,5361785: Myriophyllum aquaticum (Vell.) Verdc. | 5361786: Myriophyllum brasiliense Cambess.
"Ondatra zibethicus (Linnaeus, 1766)",3,,5219858,5219858,Animalia,Chordata,Rodentia,Mammalia,Ondatra,Cricetidae,Ondatra zibethicus,SPECIES,"5219858: Ondatra zibethicus (Linnaeus, 1766)"
"Oxyura jamaicensis (J.F.Gmelin, 1789)",3,,2498305,2498305,Animalia,Chordata,Anseriformes,Aves,Oxyura,Anatidae,Oxyura jamaicensis,SPECIES,"2498305: Oxyura jamaicensis (J.F.Gmelin, 1789)"
"Pacifastacus leniusculus (Dana, 1852)",3,,2226990,2226990,Animalia,Arthropoda,Decapoda,Malacostraca,Pacifastacus,Astacidae,Pacifastacus leniusculus,SPECIES,"2226990: Pacifastacus leniusculus (Dana, 1852)"
"Pseudorasbora parva (Temminck & Schlegel, 1846)",3,,2362868,2362868,Animalia,Chordata,Cypriniformes,,Pseudorasbora,Cyprinidae,Pseudorasbora parva,SPECIES,"2362868: Pseudorasbora parva (Temminck & Schlegel, 1846)"
"Trachemys scripta (Thunberg In Schoepff, 1792)",3,,2443002,2443002,Animalia,Chordata,,Testudines,Trachemys,Emydidae,Trachemys scripta,SPECIES,"2443002: Trachemys scripta (Thunberg In Schoepff, 1792) | 6157026: Trachemys scripta elegans (Wied, 1838) | 6157035: Trachemys scripta troostii (Holbrook, 1836) | 7062200: Trachemys scripta scripta"
Elodea nuttallii (Planch.) H.St.John,2,,5329212,5329212,Plantae,Tracheophyta,Alismatales,Liliopsida,Elodea,Hydrocharitaceae,Elodea nuttallii,SPECIES,5329212: Elodea nuttallii (Planch.) H.St.John
Ludwigia grandiflora (Michx.) Greuter & Burdet,2,,5421039,5421039,Plantae,Tracheophyta,Myrtales,Magnoliopsida,Ludwigia,Onagraceae,Ludwigia grandiflora,SPECIES,5421039: Ludwigia grandiflora (Michx.) Greuter & Burdet
