scientificName,n_prot_areas,mean_coverage,taxonKey,speciesKey,kingdom,phylum,order,class,genus,family,species,rank,includes
Acorus calamus L.,3,,2873769,2873769,Plantae,Tracheophyta,Acorales,Liliopsida,Acorus,Acoraceae,Acorus calamus,SPECIES,2873769: Acorus calamus L.
Aesculus hippocastanum L.,3,,3189815,3189815,Plantae,Tracheophyta,Sapindales,Magnoliopsida,Aesculus,Sapindaceae,Aesculus hippocastanum,SPECIES,3189815: Aesculus hippocastanum L.
Ailanthus altissima (Mill.) Swingle,3,,3190653,3190653,Plantae,Tracheophyta,Sapindales,Magnoliopsida,Ailanthus,Simaroubaceae,Ailanthus altissima,SPECIES,3190653: Ailanthus altissima (Mill.) Swingle
"Aix galericulata (Linnaeus, 1758)",3,,2498388,2498388,Animalia,Chordata,Anseriformes,Aves,Aix,Anatidae,Aix galericulata,SPECIES,"2498388: Aix galericulata (Linnaeus, 1758)"
"Aix sponsa (Linnaeus, 1758)",3,,2498387,2498387,Animalia,Chordata,Anseriformes,Aves,Aix,Anatidae,Aix sponsa,SPECIES,"2498387: Aix sponsa (Linnaeus, 1758)"
Alcea rosea L.,3,,5406789,5406789,Plantae,Tracheophyta,Malvales,Magnoliopsida,Alcea,Malvaceae,Alcea rosea,SPECIES,5406789: Alcea rosea L. | 5406791: Alcea ficifolia L. | 8271405: Alcea rosea subsp. ficifolia (L.) Govaerts
Alnus incana (L.) Moench,3,,9148577,9148577,Plantae,Tracheophyta,Fagales,Magnoliopsida,Alnus,Betulaceae,Alnus incana,SPECIES,7226596: Alnus incana subsp. incana | 9148577: Alnus incana (L.) Moench
"Alopochen aegyptiaca (Linnaeus, 1766)",3,,2498252,2498252,Animalia,Chordata,Anseriformes,Aves,Alopochen,Anatidae,Alopochen aegyptiaca,SPECIES,"2498252: Alopochen aegyptiaca (Linnaeus, 1766)"
Amaranthus blitum L.,3,,8911082,8911082,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Amaranthus,Amaranthaceae,Amaranthus blitum,SPECIES,7323358: Amaranthus blitum subsp. blitum | 8911082: Amaranthus blitum L.
Amaranthus retroflexus L.,3,,6109534,6109534,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Amaranthus,Amaranthaceae,Amaranthus retroflexus,SPECIES,6109534: Amaranthus retroflexus L.
"Ambigolimax valentianus (A.Férussac, 1821)",3,,8014163,8014163,Animalia,Mollusca,Stylommatophora,Gastropoda,Ambigolimax,Limacidae,Ambigolimax valentianus,SPECIES,"8014163: Ambigolimax valentianus (A.Férussac, 1821)"
Ambrosia artemisiifolia L.,3,,8002952,8002952,Plantae,Tracheophyta,Asterales,Magnoliopsida,Ambrosia,Asteraceae,Ambrosia artemisiifolia,SPECIES,3110599: Ambrosia elatior L. | 8002952: Ambrosia artemisiifolia L.
"Ameiurus nebulosus (Lesueur, 1819)",3,,2340989,2340989,Animalia,Chordata,Siluriformes,,Ameiurus,Ictaluridae,Ameiurus nebulosus,SPECIES,"2340989: Ameiurus nebulosus (Lesueur, 1819)"
Amelanchier ×lamarckii F.G.Schroed.,3,,3024109,3024109,Plantae,Tracheophyta,Rosales,Magnoliopsida,Amelanchier,Rosaceae,Amelanchier lamarckii,SPECIES,3024109: Amelanchier ×lamarckii F.G.Schroed.
"Anas bahamensis Linnaeus, 1758",3,,2498090,2498090,Animalia,Chordata,Anseriformes,Aves,Anas,Anatidae,Anas bahamensis,SPECIES,"2498090: Anas bahamensis Linnaeus, 1758"
Anchusa officinalis L.,3,,5341201,5341201,Plantae,Tracheophyta,Boraginales,Magnoliopsida,Anchusa,Boraginaceae,Anchusa officinalis,SPECIES,5341201: Anchusa officinalis L. | 7295374: Anchusa officinalis subsp. officinalis
Angelica archangelica L.,3,,5371808,5371808,Plantae,Tracheophyta,Apiales,Magnoliopsida,Angelica,Apiaceae,Angelica archangelica,SPECIES,5371808: Angelica archangelica L.
