SITECODE,SITENAME,SITETYPE,n_species,n_obs,flanders,wallonia,brussels
BE2301235,Durme en Middenloop van de Schelde,A,26,19600,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,26,6274,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,24,13239,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,20,9365,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,20,7916,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,19,7142,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,19,1649,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,18,6030,TRUE,FALSE,FALSE
BE32017C0,Vallée de la Haine en aval de Mons,C,18,2486,FALSE,TRUE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,17,3412,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,17,1804,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,15,1423,TRUE,FALSE,FALSE
BE31002C0,Vallées de l'Argentine et de la Lasne,C,15,1176,FALSE,TRUE,FALSE
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,C,15,697,FALSE,TRUE,FALSE
BE32005C0,Vallées de la Dendre et de la Marcq,C,15,681,FALSE,TRUE,FALSE
BE2200525,Bokrijk en omgeving,A,15,649,TRUE,FALSE,FALSE
BE2100424,De Zegge,A,15,341,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,14,5709,TRUE,FALSE,FALSE
BE2200626,De Maten,A,14,1383,TRUE,FALSE,FALSE
BE2500121,Westkust,A,14,1001,TRUE,FALSE,FALSE
BE34050C0,Bassin de la Semois entre Tintigny et Jamoigne,C,13,2207,FALSE,TRUE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,13,1677,TRUE,FALSE,FALSE
BE2100323,Kalmthoutse Heide,A,13,1411,TRUE,FALSE,FALSE
BE32001C0,Vallée de la Lys,C,13,454,FALSE,TRUE,FALSE
BE33004C0,Basse Meuse et Meuse mitoyenne,C,13,293,FALSE,TRUE,FALSE
BE2300222,Kuifeend en Blokkersdijk,A,12,5864,TRUE,FALSE,FALSE
BE35003C0,Vallée de la Sambre en aval de la confluence avec l'Orneau,C,12,420,FALSE,TRUE,FALSE
BE34003C0,Vallée de l'Ourthe entre Hotton et Barvaux-sur-Ourthe,C,12,344,FALSE,TRUE,FALSE
BE31005C0,Vallée de la Nethen,C,12,328,FALSE,TRUE,FALSE
BE31006C0,Vallée de la Dyle à Ottignies,C,12,237,FALSE,TRUE,FALSE
BE32014C0,Vallée de la Haine en amont de Mons,C,12,215,FALSE,TRUE,FALSE
BE32044C0,Bassin de l'Escaut en amont de Tournai,C,12,83,FALSE,TRUE,FALSE
BE2301134,Krekengebied,A,11,12299,TRUE,FALSE,FALSE
BE31004C0,Vallée de la Dyle en aval d'Archennes,C,11,2908,FALSE,TRUE,FALSE
BE34056C0,Bassin de la Semois de Etalle à Tintigny,C,11,999,FALSE,TRUE,FALSE
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,A,11,793,TRUE,FALSE,FALSE
BE31010C0,Sources de la Dyle,C,11,787,FALSE,TRUE,FALSE
BE34046C0,Bassin de la Semois de Florenville à Auby,C,11,711,FALSE,TRUE,FALSE
BE32002C0,Vallée de l'Escaut en aval de Tournai,C,11,643,FALSE,TRUE,FALSE
BE35009C0,Vallée de la Meuse d'Yvoir à Dave,C,11,526,FALSE,TRUE,FALSE
BE35030C0,La Calestienne entre Frasnes et Doische,C,11,512,FALSE,TRUE,FALSE
BE35038C0,Bassin de la Lesse entre Villers-sur-Lesse et Chanly,C,11,364,FALSE,TRUE,FALSE
BE35004C0,Vallée de la Meuse de Dave à Marche-les-Dames,C,11,325,FALSE,TRUE,FALSE
BE31001C0,Affluents brabançons de la Senne,C,11,285,FALSE,TRUE,FALSE
BE33009C0,Vallée de la Mehaigne,C,11,167,FALSE,TRUE,FALSE
BE33016C0,Basse vallée de la Vesdre,C,11,167,FALSE,TRUE,FALSE
BE35037C0,Vallée de la Wimbe,C,11,137,FALSE,TRUE,FALSE
BE32036C0,Vallée de l'Eau Blanche à Virelles,C,10,817,FALSE,TRUE,FALSE
BE34048C0,Bassin de la Semois de Jamoigne à Chiny,C,10,421,FALSE,TRUE,FALSE
BE35045C0,Vallée de la Semois en aval d'Alle,C,10,415,FALSE,TRUE,FALSE
BE34012C0,Vallée de l'Ourthe entre La Roche et Hotton,C,10,391,FALSE,TRUE,FALSE
BE31011C0,Vallée de la Thyle,C,10,273,FALSE,TRUE,FALSE
BE32021C0,Haute-Sambre en aval de Thuin,C,10,187,FALSE,TRUE,FALSE
