SITECODE,SITENAME,SITETYPE,n_species,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,34,31246,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,33,13500,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,32,9396,TRUE,FALSE,FALSE
BE2500121,Westkust,A,32,6267,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,32,5000,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,31,15072,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,31,8648,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,31,8078,TRUE,FALSE,FALSE
BE2300222,Kuifeend en Blokkersdijk,A,31,6772,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,31,6681,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,31,4965,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,30,11344,TRUE,FALSE,FALSE
BE2500002,Polders,B,30,10274,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,30,2932,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,29,8840,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,29,5614,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,29,2832,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,29,1767,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,28,5580,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,28,4099,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,28,3930,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,28,3144,TRUE,FALSE,FALSE
BE2200038,Bossen en kalkgraslanden van Haspengouw,B,28,2294,TRUE,FALSE,FALSE
BE2100323,Kalmthoutse Heide,A,28,1794,TRUE,FALSE,FALSE
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",B,28,1571,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,27,7179,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,27,3215,TRUE,FALSE,FALSE
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",B,27,2783,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,27,2701,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,27,2348,TRUE,FALSE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,27,1866,TRUE,FALSE,FALSE
BE2100015,Kalmthoutse Heide,B,27,1705,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,27,952,TRUE,FALSE,FALSE
BE2301134,Krekengebied,A,26,4364,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,26,3043,TRUE,FALSE,FALSE
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",B,26,2360,TRUE,FALSE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,26,1953,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,26,1684,TRUE,FALSE,FALSE
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,B,26,1584,TRUE,FALSE,FALSE
BE2400008,Zoniënwoud,B,26,1543,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,26,1345,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,25,4360,TRUE,FALSE,FALSE
BE2524317,Kustbroedvogels te Zeebrugge-Heist,A,25,3927,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,25,3545,TRUE,FALSE,FALSE
BE2501033,Het Zwin,A,25,2003,TRUE,FALSE,FALSE
BE2200035,Mechelse Heide en vallei van de Ziepbeek,B,25,1065,TRUE,FALSE,FALSE
BE2500003,Westvlaams Heuvelland,B,24,919,TRUE,FALSE,FALSE
BE2100020,"Heesbossen, Vallei van Marke en Merkske en Ringven met valleigronden langs de Heerlese Loop",B,24,736,TRUE,FALSE,FALSE
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,A,23,765,TRUE,FALSE,FALSE
BE2200041,Jekervallei en bovenloop van de Demervallei,B,23,533,TRUE,FALSE,FALSE
BE2100019,"Het Blak, Kievitsheide, Ekstergoor en nabijgelegen Kamsalamanderhabitats",B,22,1150,TRUE,FALSE,FALSE
BE2200034,"Itterbeek met Brand, Jagersborg en Schootsheide en Bergerven",B,21,784,TRUE,FALSE,FALSE
BE2200626,De Maten,A,20,1132,TRUE,FALSE,FALSE
BE2200028,De Maten,B,20,1096,TRUE,FALSE,FALSE
BE2200042,Overgang Kempen-Haspengouw,B,20,626,TRUE,FALSE,FALSE
BE2200043,Bosbeekvallei en aangrenzende bos- en heidegebieden te As-Opglabbeek-Maaseik,B,20,495,TRUE,FALSE,FALSE
BE2200039,Voerstreek,B,20,492,TRUE,FALSE,FALSE
BE2100424,De Zegge,A,20,326,TRUE,FALSE,FALSE
BE2200030,Mangelbeek en heide- en vengebieden tussen Houthalen en Gruitrode,B,19,1108,TRUE,FALSE,FALSE
BE2200525,Bokrijk en omgeving,A,19,610,TRUE,FALSE,FALSE
BE2220313,"Houthalen-Helchteren, Meeuwen-Gruitrode en Peer",A,17,442,TRUE,FALSE,FALSE
BE2200036,Plateau van Caestert met hellingbossen en mergelgrotten.,B,17,299,TRUE,FALSE,FALSE
