SITECODE,SITENAME,SITETYPE,n_species,n_obs,flanders,wallonia,brussels
BE2500121,Westkust,A,32,6267,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,31,15072,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,31,8078,TRUE,FALSE,FALSE
BE2300222,Kuifeend en Blokkersdijk,A,31,6772,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,30,11344,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,29,8840,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,29,2832,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,29,1767,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,28,5580,TRUE,FALSE,FALSE
BE2100323,Kalmthoutse Heide,A,28,1794,TRUE,FALSE,FALSE
BE2301134,Krekengebied,A,26,4364,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,26,3043,TRUE,FALSE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,26,1953,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,26,1684,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,26,1345,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,25,4360,TRUE,FALSE,FALSE
BE2524317,Kustbroedvogels te Zeebrugge-Heist,A,25,3927,TRUE,FALSE,FALSE
BE2500831,Ijzervallei,A,25,3545,TRUE,FALSE,FALSE
BE2501033,Het Zwin,A,25,2003,TRUE,FALSE,FALSE
BE2200727,De Mechelse Heide en de Vallei van de Ziepbeek,A,23,765,TRUE,FALSE,FALSE
BE2200626,De Maten,A,20,1132,TRUE,FALSE,FALSE
BE2100424,De Zegge,A,20,326,TRUE,FALSE,FALSE
BE2200525,Bokrijk en omgeving,A,19,610,TRUE,FALSE,FALSE
BE2220313,"Houthalen-Helchteren, Meeuwen-Gruitrode en Peer",A,17,442,TRUE,FALSE,FALSE
