SITECODE,SITENAME,SITETYPE,n_species,n_obs,flanders,wallonia,brussels
BE32017C0,Vallée de la Haine en aval de Mons,C,16,2084,FALSE,TRUE,FALSE
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,C,14,837,FALSE,TRUE,FALSE
BE31002C0,Vallées de l'Argentine et de la Lasne,C,13,846,FALSE,TRUE,FALSE
BE32005C0,Vallées de la Dendre et de la Marcq,C,13,502,FALSE,TRUE,FALSE
BE33004C0,Basse Meuse et Meuse mitoyenne,C,12,248,FALSE,TRUE,FALSE
BE34050C0,Bassin de la Semois entre Tintigny et Jamoigne,C,11,1422,FALSE,TRUE,FALSE
BE34056C0,Bassin de la Semois de Etalle à Tintigny,C,11,735,FALSE,TRUE,FALSE
BE31010C0,Sources de la Dyle,C,11,566,FALSE,TRUE,FALSE
BE35003C0,Vallée de la Sambre en aval de la confluence avec l'Orneau,C,11,346,FALSE,TRUE,FALSE
BE35038C0,Bassin de la Lesse entre Villers-sur-Lesse et Chanly,C,11,316,FALSE,TRUE,FALSE
BE33016C0,Basse vallée de la Vesdre,C,11,285,FALSE,TRUE,FALSE
BE33009C0,Vallée de la Mehaigne,C,11,166,FALSE,TRUE,FALSE
BE32044C0,Bassin de l'Escaut en amont de Tournai,C,11,126,FALSE,TRUE,FALSE
BE31004C0,Vallée de la Dyle en aval d'Archennes,C,10,2172,FALSE,TRUE,FALSE
BE34046C0,Bassin de la Semois de Florenville à Auby,C,10,527,FALSE,TRUE,FALSE
BE34003C0,Vallée de l'Ourthe entre Hotton et Barvaux-sur-Ourthe,C,10,368,FALSE,TRUE,FALSE
BE32001C0,Vallée de la Lys,C,10,352,FALSE,TRUE,FALSE
BE31005C0,Vallée de la Nethen,C,10,272,FALSE,TRUE,FALSE
BE35004C0,Vallée de la Meuse de Dave à Marche-les-Dames,C,10,270,FALSE,TRUE,FALSE
BE32012C0,Bord nord du bassin de la Haine,C,10,268,FALSE,TRUE,FALSE
BE33028C0,Vallée de l'Amblève du Pont de Targnon à Remouchamps,C,10,218,FALSE,TRUE,FALSE
BE32014C0,Vallée de la Haine en amont de Mons,C,10,190,FALSE,TRUE,FALSE
BE34004C0,Massifs forestiers famenniens entre Hotton et Barvaux-sur-Ourthe,C,10,96,FALSE,TRUE,FALSE
