SITECODE,SITENAME,SITETYPE,n_taxa,n_obs,flanders,wallonia,brussels
BE2300006,Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent,B,1197,141964,TRUE,FALSE,FALSE
BE2500001,Duingebieden inclusief Ijzermonding en Zwin.,B,927,83927,TRUE,FALSE,FALSE
BE2301235,Durme en Middenloop van de Schelde,A,760,64191,TRUE,FALSE,FALSE
BE2300007,Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen.,B,680,43379,TRUE,FALSE,FALSE
BE2500121,Westkust,A,657,35376,TRUE,FALSE,FALSE
BE2400014,Demervallei,B,618,47296,TRUE,FALSE,FALSE
BE2100017,Bos- en heidegebieden ten oosten van Antwerpen,B,616,30661,TRUE,FALSE,FALSE
BE2500002,Polders,B,614,51745,TRUE,FALSE,FALSE
BE2100026,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",B,612,29547,TRUE,FALSE,FALSE
BE2100045,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,602,22631,TRUE,FALSE,FALSE
BE2300044,Bossen van het zuidoosten van de Zandleemstreek,B,593,18017,TRUE,FALSE,FALSE
BE2500932,Poldercomplex,A,588,33910,TRUE,FALSE,FALSE
BE2500004,"Bossen, heiden en valleigebieden van zandig Vlaanderen: westelijk deel",B,579,15116,TRUE,FALSE,FALSE
BE2223316,De Demervallei,A,573,42992,TRUE,FALSE,FALSE
BE2301336,Schorren en Polders van de Beneden-Schelde,A,545,53331,TRUE,FALSE,FALSE
BE2400011,"Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden",B,537,36036,TRUE,FALSE,FALSE
BE2300005,Bossen en heiden van zandig Vlaanderen: oostelijk deel,B,535,32308,TRUE,FALSE,FALSE
BE2100040,"Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor.",B,530,39304,TRUE,FALSE,FALSE
BE2221314,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",A,513,26839,TRUE,FALSE,FALSE
BE2400012,Valleien van de Winge en de Motte met valleihellingen.,B,512,17782,TRUE,FALSE,FALSE
BE2200031,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden.",B,496,23566,TRUE,FALSE,FALSE
BE2200037,Uiterwaarden langs de Limburgse Maas met Vijverbroek,B,485,19727,TRUE,FALSE,FALSE
BE2100024,"Vennen, heiden en moerassen rond Turnhout",B,465,20592,TRUE,FALSE,FALSE
BE2101538,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,441,17591,TRUE,FALSE,FALSE
BE2400009,Hallerbos en nabije boscomplexen met brongebieden en heiden,B,431,10013,TRUE,FALSE,FALSE
BE2200029,"Vallei- en brongebied van de Zwarte Beek, Bolisserbeek en Dommel met heide en vengebieden.",B,426,17384,TRUE,FALSE,FALSE
BE2200038,Bossen en kalkgraslanden van Haspengouw,B,416,13053,TRUE,FALSE,FALSE
BE2218311,Militair domein en vallei van de Zwarte Beek,A,389,15609,TRUE,FALSE,FALSE
BE2101437,"De Maatjes, Wuustwezelheide en Groot Schietveld",A,378,9796,TRUE,FALSE,FALSE
BE2101639,Ronde Put,A,378,8673,TRUE,FALSE,FALSE
BE2217310,"Bocholt, Hechtel-Eksel, Meeuwen-Gruitrode, Neerpelt en Peer",A,378,7147,TRUE,FALSE,FALSE
BE2422315,De Dijlevallei,A,366,20765,TRUE,FALSE,FALSE
BE2400010,"Valleigebied tussen Melsbroek, Kampenhout, Kortemberg en Veltem.",B,355,8395,TRUE,FALSE,FALSE
BE2219312,Vijvercomplex van Midden Limburg,A,351,17343,TRUE,FALSE,FALSE
BE2500003,Westvlaams Heuvelland,B,345,5831,TRUE,FALSE,FALSE
BE2200033,Abeek met aangrenzende moerasgebieden,B,339,8290,TRUE,FALSE,FALSE
BE2100016,Klein en Groot Schietveld,B,334,6583,TRUE,FALSE,FALSE
BE2200032,"Hageven met Dommelvallei, Beverbeekse Heide, Warmbeek en Wateringen",B,333,13638,TRUE,FALSE,FALSE
BE2400008,Zoniënwoud,B,330,7761,TRUE,FALSE,FALSE
BE2200042,Overgang Kempen-Haspengouw,B,328,4960,TRUE,FALSE,FALSE
BE2200035,Mechelse Heide en vallei van de Ziepbeek,B,327,9151,TRUE,FALSE,FALSE
BE2100323,Kalmthoutse Heide,A,324,11607,TRUE,FALSE,FALSE
