taxonKey,speciesKey,scientificName,kingdom,phylum,order,class,genus,family,species,rank,includes
1000794,1000794,"Adineta vaga (Davis, 1873)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Adineta,Adinetidae,Adineta vaga,SPECIES,"1000794: Adineta vaga (Davis, 1873)"
1000829,1000829,"Pleuretra lineata Donner, 1962",Animalia,Rotifera,Bdelloidea,Eurotatoria,Pleuretra,Philodinidae,Pleuretra lineata,SPECIES,"1000829: Pleuretra lineata Donner, 1962"
1000892,1000892,"Mniobia obtusicalcar De Koning, 1947",Animalia,Rotifera,Bdelloidea,Eurotatoria,Mniobia,Philodinidae,Mniobia obtusicalcar,SPECIES,"1000892: Mniobia obtusicalcar De Koning, 1947"
1000906,1000906,"Mniobia russeola (Zelinka, 1891)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Mniobia,Philodinidae,Mniobia russeola,SPECIES,"1000906: Mniobia russeola (Zelinka, 1891)"
1000912,1000912,"Mniobia bredensis De Koning, 1947",Animalia,Rotifera,Bdelloidea,Eurotatoria,Mniobia,Philodinidae,Mniobia bredensis,SPECIES,"1000912: Mniobia bredensis De Koning, 1947"
1000975,1000975,"Macrotrachela nana (Bryce, 1912)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Macrotrachela,Philodinidae,Macrotrachela nana,SPECIES,"1000975: Macrotrachela nana (Bryce, 1912)"
1000982,1000982,"Macrotrachela ehrenbergii (Janson, 1893)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Macrotrachela,Philodinidae,Macrotrachela ehrenbergii,SPECIES,"1000982: Macrotrachela ehrenbergii (Janson, 1893)"
1001005,1001005,"Macrotrachela quadricornifera Milne, 1886",Animalia,Rotifera,Bdelloidea,Eurotatoria,Macrotrachela,Philodinidae,Macrotrachela quadricornifera,SPECIES,"6155587: Macrotrachela quadricornifera scutellata Schulte, 1886"
1001100,1001100,"Philodina proterva Milne, 1916",Animalia,Rotifera,Bdelloidea,Eurotatoria,Philodina,Philodinidae,Philodina proterva,SPECIES,"1001100: Philodina proterva Milne, 1916"
1001115,1001115,"Philodina vorax (Janson, 1893)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Philodina,Philodinidae,Philodina vorax,SPECIES,"1001115: Philodina vorax (Janson, 1893)"
1001132,1001132,"Philodina morigera Donner, 1949",Animalia,Rotifera,Bdelloidea,Eurotatoria,Philodina,Philodinidae,Philodina morigera,SPECIES,"1001132: Philodina morigera Donner, 1949"
1001191,1001191,"Habrotrocha pusilla (Bryce, 1893)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Habrotrocha,Habrotrochidae,Habrotrocha pusilla,SPECIES,"1001191: Habrotrocha pusilla (Bryce, 1893)"
1001199,1001199,"Habrotrocha bidens (Gosse, 1851)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Habrotrocha,Habrotrochidae,Habrotrocha bidens,SPECIES,"1001199: Habrotrocha bidens (Gosse, 1851)"
1001212,1001212,"Habrotrocha pulchra (Murray, 1905)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Habrotrocha,Habrotrochidae,Habrotrocha pulchra,SPECIES,"1001212: Habrotrocha pulchra (Murray, 1905)"
1001263,1001263,"Habrotrocha constricta (Dujardin, 1841)",Animalia,Rotifera,Bdelloidea,Eurotatoria,Habrotrocha,Habrotrochidae,Habrotrocha constricta,SPECIES,"1001263: Habrotrocha constricta (Dujardin, 1841)"
1001548,1001548,"Lepadella deridderae Segers, De Smet & Bonte, 1996",Animalia,Rotifera,Ploima,Eurotatoria,Lepadella,Lepadellidae,Lepadella deridderae,SPECIES,6155426: Lepadella deridderae deridderae
1001728,1001728,"Paradicranophorus sinus De Smet, 2003",Animalia,Rotifera,Ploima,Eurotatoria,Paradicranophorus,Dicranophoridae,Paradicranophorus sinus,SPECIES,"1001728: Paradicranophorus sinus De Smet, 2003"
1001810,1001810,"Encentrum tenuidigitatum De Smet, 2000",Animalia,Rotifera,Ploima,Eurotatoria,Encentrum,Dicranophoridae,Encentrum tenuidigitatum,SPECIES,"1001810: Encentrum tenuidigitatum De Smet, 2000"
1002631,1002631,"Keratella serrulata (Ehrenberg, 1838)",Animalia,Rotifera,Ploima,Eurotatoria,Keratella,Brachionidae,Keratella serrulata,SPECIES,"1002631: Keratella serrulata (Ehrenberg, 1838)"
1002833,1002833,"Notholca squamula (Müller, 1786)",Animalia,Rotifera,Ploima,Eurotatoria,Notholca,Brachionidae,Notholca squamula,SPECIES,"1002833: Notholca squamula (Müller, 1786)"
1002944,1002944,"Proales christinae De Smet, 1994",Animalia,Rotifera,Ploima,Eurotatoria,Proales,Proalidae,Proales christinae,SPECIES,"1002944: Proales christinae De Smet, 1994"
1003399,1003399,"Cephalodella segersi De Smet, 1998",Animalia,Rotifera,Ploima,Eurotatoria,Cephalodella,Notommatidae,Cephalodella segersi,SPECIES,"1003399: Cephalodella segersi De Smet, 1998"
1003567,1003567,"Pectinatella magnifica (Leidy, 1851)",Animalia,Bryozoa,Plumatellida,Phylactolaemata,Pectinatella,Pectinatellidae,Pectinatella magnifica,SPECIES,"1003567: Pectinatella magnifica (Leidy, 1851)"
1003588,1003588,"Plumatella casmiana Oka, 1907",Animalia,Bryozoa,Plumatellida,Phylactolaemata,Plumatella,Plumatellidae,Plumatella casmiana,SPECIES,"1003588: Plumatella casmiana Oka, 1907"
1003652,1003652,"Cristatella mucedo Cuvier, 1798",Animalia,Bryozoa,Plumatellida,Phylactolaemata,Cristatella,Cristatellidae,Cristatella mucedo,SPECIES,"1003652: Cristatella mucedo Cuvier, 1798"
