taxonKey	taxonName	kingdom	class	year_2024_em_status_occupancy_natura2000	year_2024_em_status_occs_natura2000	year_2024_em_status_occupancy_Belgium	year_2024_em_status_occs_Belgium	year_2023_em_status_occupancy_natura2000	year_2023_em_status_occs_natura2000	year_2023_em_status_occupancy_Belgium	year_2023_em_status_occs_Belgium	year_2022_em_status_occupancy_natura2000	year_2022_em_status_occs_natura2000	year_2022_em_status_occupancy_Belgium	year_2022_em_status_occs_Belgium	mean_growth	clasKey
1311477	Vespa velutina Lepeletier, 1836	Animalia	Insecta	3	3	3	3	3	3	3	3	3	3	3	3	2.8141568665120453	216
2153287	Zoropsis spinimana (Dufour, 1820)	Animalia	Arachnida	3	3	3	3	3	3	3	3	3	3	3	3	1.9840121359165777	367
2891774	Impatiens capensis Meerb.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.8462089959398533	220
3039269	Elaeagnus angustifolia L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.7875845256688438	220
8701771	Obama nungara Carbayo, Alvarez-Presas, Jones & Riutort, 2016	Animalia		3	3	3	3	3	3	3	3	3	3	3	3	1.7378295645438189	
2840931	Goodyera repens (L.) R.Br.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.56668041297514	196
2747939	Crocosmia ×crocosmiiflora (Lemoine) N.E.Br.	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.564886606999215	196
3120692	Artemisia crithmifolia L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.5600338193603676	220
1579447	Exaireta spinigera (Wiedemann, 1830)	Animalia	Insecta	3	3	3	3	3	3	3	3	3	3	3	3	1.5492843043796931	216
5179027	Scutigera coleoptrata Linnaeus, 1758	Animalia	Chilopoda	3	3	3	3	3	3	3	3	3	3	3	3	1.5368513754358313	360
5341373	Scutellaria altissima L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.5096704728595338	220
5154481	Stictocephala bisonia Kopp & Yonke, 1977	Animalia	Insecta	3	3	3	3	3	3	3	3	3	3	3	3	1.4883031391382908	216
6027089	Smyrnium perfoliatum L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.4843044490348736	220
3084022	Phytolacca acinosa Roxb.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.475777260185755	220
2225772	Hemigrapsus sanguineus (De Haan, 1835)	Animalia	Malacostraca	3	3	3	3	3	3	3	3	3	3	3	3	1.4710803158394117	229
5806954	Tarsostenus carus (Newman, 1840)	Animalia	Insecta	3	3	3	3	3	3	3	3	3	3	3	3	1.4679234855738954	216
3047621	Sinapis alba L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.4364148959858307	220
5384741	Silene coronaria (L.) Clairv.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.4228459061194068	220
3114225	Rudbeckia hirta L.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.4035258112262279	220
5304294	Hyacinthoides ×massartiana Geerinck	Plantae	Liliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3920455771568896	196
5415016	Linaria maroccana Hook.fil.	Plantae	Magnoliopsida	3	3	3	3	3	3	3	3	3	3	3	3	1.3898904423764376	220
