taxonKey	canonicalName	kingdom	class	year_2023_em_status_occupancy_natura2000_Brussels	year_2023_em_status_occs_natura2000_Brussels	year_2022_em_status_occupancy_natura2000_Brussels	year_2022_em_status_occs_natura2000_Brussels	year_2021_em_status_occupancy_natura2000_Brussels	year_2021_em_status_occs_natura2000_Brussels	mean_growth	kingdomKey	classKey
7127354	Cyclamen coum	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
1311477	Vespa velutina	Animalia	Insecta	3	3	3	3	3	2		1	216
1749449	Cameraria ohridella	Animalia	Insecta	3	3	3	3	1	1		1	216
6098843	Ctenolepisma longicaudatum	Animalia	Insecta	3	3	3	3	1	1		1	216
3039194	Parthenocissus quinquefolia	Plantae	Magnoliopsida	3	3	3	3	0	0		6	220
4497054	Andricus lignicolus	Animalia	Insecta	3	3	3	3	0	0		1	216
5284982	Pinus strobus	Plantae	Pinopsida	3	3	3	3	0	0		6	194
5289686	Setaria verticillata	Plantae	Liliopsida	3	3	3	3	0	0		6	196
4565039	Hygromia cinctella	Animalia	Gastropoda	3	3	3	2	3	3		1	225
3021496	Prunus laurocerasus	Plantae	Magnoliopsida	3	3	2	3	3	3	1.0780514206285963	6	220
1421091	Lepisma saccharinum	Animalia	Insecta	3	3	2	3	2	2		1	216
1047536	Leptinotarsa decemlineata	Animalia	Insecta	3	3	2	2	3	3		1	216
4201607	Phedimus spurius	Plantae	Magnoliopsida	3	3	2	2	0	0		6	220
4067302	Symphytum grandiflorum	Plantae	Magnoliopsida	3	3	1	1	3	3		6	220
1346919	Isodontia mexicana	Animalia	Insecta	3	3	1	1	1	1		1	216
2988188	Pyracantha coccinea	Plantae	Magnoliopsida	3	3	1	1	1	1		6	220
5123474	Anthophila nemorana	Animalia	Insecta	3	3	1	1	1	1		1	216
3026092	Cotoneaster hjelmqvistii	Plantae	Magnoliopsida	3	3	0	0	1	1		6	220
2479798	Melopsittacus undulatus	Animalia	Aves	3	3	0	0	0	0		1	212
3040185	Populus canescens	Plantae	Magnoliopsida	3	3	0	0	0	0		6	220
2078852	Nezara viridula	Animalia	Insecta	3	2	3	3	3	2		1	216
2037925	Orientus ishidae	Animalia	Insecta	3	2	2	2	3	2		1	216
4532122	Cydalima perspectalis	Animalia	Insecta	3	2	2	2	3	2		1	216
5156102	Leptoglossus occidentalis	Animalia	Insecta	3	1	3	1	2	1	0.9831448271651309	1	216
3190653	Ailanthus altissima	Plantae	Magnoliopsida	2	3	2	3	2	3	1.1320045982564693	6	220
3172291	Ligustrum ovalifolium	Plantae	Magnoliopsida	2	3	2	3	2	3	1.0479696574447086	6	220
