taxonKey	canonicalName	kingdom	class	year_2023_em_status_occupancy_natura2000_Flanders	year_2023_em_status_occs_natura2000_Flanders	year_2022_em_status_occupancy_natura2000_Flanders	year_2022_em_status_occs_natura2000_Flanders	year_2021_em_status_occupancy_natura2000_Flanders	year_2021_em_status_occs_natura2000_Flanders	mean_growth	kingdomKey	classKey
5281901	Campylopus introflexus	Plantae	Bryopsida	3	3	3	3	3	3	1.2328518805031499	6	327
6096602	Lophocolea semiteres	Plantae	Jungermanniopsida	3	3	3	3	3	3	1.2274147894983127	6	126
5232437	Branta canadensis	Animalia	Aves	3	3	3	3	3	3	1.2122871212187945	1	212
2498252	Alopochen aegyptiaca	Animalia	Aves	3	3	3	3	3	3	1.2008381208250396	1	212
2115769	Austrominius modestus	Animalia		3	3	3	3	3	3	1.1829956187878743	1	
2716226	Cyperus esculentus	Plantae	Liliopsida	3	3	3	3	3	3	1.1760051254022634	6	196
2677047	Orthodontium lineare	Plantae	Bryopsida	3	3	3	3	3	3	1.1352881425302999	6	327
2701986	Juncus canadensis	Plantae	Liliopsida	3	3	3	3	3	3	1.041975540249611	6	196
5284982	Pinus strobus	Plantae	Pinopsida	3	3	3	3	3	3	1.0063417065056344	6	194
1311477	Vespa velutina	Animalia	Insecta	3	3	3	3	3	3		1	216
1579447	Exaireta spinigera	Animalia	Insecta	3	3	3	3	3	3		1	216
1622658	Rhagoletis completa	Animalia	Insecta	3	3	3	3	3	3		1	216
2078852	Nezara viridula	Animalia	Insecta	3	3	3	3	3	3		1	216
2888859	Muehlenbeckia complexa	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
2928238	Phacelia campanularia	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
2985994	Hydrangea macrophylla	Plantae	Magnoliopsida	3	3	3	3	3	3		6	220
4485843	Halyomorpha halys	Animalia	Insecta	3	3	3	3	3	3		1	216
5218786	Procyon lotor	Animalia	Mammalia	3	3	3	3	3	3		1	359
5806954	Tarsostenus carus	Animalia	Insecta	3	3	3	3	3	3		1	216
6098843	Ctenolepisma longicaudatum	Animalia	Insecta	3	3	3	3	3	3		1	216
6164210	Canis lupus familiaris	Animalia	Mammalia	3	3	3	3	3	3		1	359
5372655	Salix eleagnos	Plantae	Magnoliopsida	3	3	3	3	2	3	1.1839570351903308	6	220
2493633	Taeniopygia guttata	Animalia	Aves	3	3	3	3	2	3	1.1562475673577648	1	212
4063383	Trachystemon orientale	Plantae	Magnoliopsida	3	3	3	3	2	3	1.0886569533532433	6	220
8537667	Chondrilla juncea	Plantae	Magnoliopsida	3	3	3	3	2	3	1.036986245987816	6	220
2479553	Agapornis personatus	Animalia	Aves	3	3	3	3	1	1		1	212
3002530	Rosa gallica	Plantae	Magnoliopsida	3	3	3	3	1	1		6	220
