taxonKey	canonicalName	year	ncells_prot_areas	ncells_BE	in_prot_areas	in_BE	n_latent_years	class	kingdom	classKey	kingdomKey
2480766	Threskiornis spinicollis	2021	1	4	TRUE	TRUE	4	Aves	Animalia	212	1
7988337	Valerianella locusta oleracea	2021	1	3	TRUE	TRUE	7	Magnoliopsida	Plantae	220	6
2493698	Amandava amandava	2021	1	1	TRUE	TRUE	5	Aves	Animalia	212	1
2498007	Tadorna tadornoides	2021	1	1	TRUE	TRUE	5	Aves	Animalia	212	1
2874706	Tamarix parviflora	2021	1	1	TRUE	TRUE	4	Magnoliopsida	Plantae	220	6
3136929	Anaphalis triplinervis	2021	1	1	TRUE	TRUE	4	Magnoliopsida	Plantae	220	6
2441454	Testudo hermanni	2021		5	FALSE	TRUE	43	Reptilia	Animalia	358	1
2445034	Tarentola mauritanica	2021		2	FALSE	TRUE	4	Reptilia	Animalia	358	1
2687948	Equisetum scirpoides	2021		2	FALSE	TRUE	12	Polypodiopsida	Plantae	7228684	6
2749791	Gladiolus italicus	2021		2	FALSE	TRUE	9	Liliopsida	Plantae	196	6
5232445	Branta sandvicensis	2021		2	FALSE	TRUE	16	Aves	Animalia	212	1
7294681	Pulmonaria longifolia	2021		2	FALSE	TRUE	4	Magnoliopsida	Plantae	220	6
1313740	Camponotus vagus	2021		1	FALSE	TRUE	22	Insecta	Animalia	216	1
2362473	Hypophthalmichthys molitrix	2021		1	FALSE	TRUE	8	Actinopterygii	Animalia	204	1
2437232	Cynomys ludovicianus	2021		1	FALSE	TRUE	18	Mammalia	Animalia	359	1
2474944	Grus japonensis	2021		1	FALSE	TRUE	11	Aves	Animalia	212	1
2489005	Acridotheres tristis	2021		1	FALSE	TRUE	4	Aves	Animalia	212	1
2493598	Lonchura punctulata	2021		1	FALSE	TRUE	4	Aves	Animalia	212	1
2703346	Anthoxanthum nitens	2021		1	FALSE	TRUE	4	Liliopsida	Plantae	196	6
2762737	Musa basjoo	2021		1	FALSE	TRUE	5	Liliopsida	Plantae	196	6
2858963	Narcissus tazetta	2021		1	FALSE	TRUE	8	Liliopsida	Plantae	196	6
2989222	Rubus tricolor	2021		1	FALSE	TRUE	7	Magnoliopsida	Plantae	220	6
3026004	Cotoneaster watereri	2021		1	FALSE	TRUE	7	Magnoliopsida	Plantae	220	6
3119219	Helianthus salicifolius	2021		1	FALSE	TRUE	69	Magnoliopsida	Plantae	220	6
5229044	Psittacula cyanocephala	2021		1	FALSE	TRUE	7	Aves	Animalia	212	1
5341540	Gilia achilleifolia	2021		1	FALSE	TRUE	5	Magnoliopsida	Plantae	220	6
6391417	Rumex thyrsiflorus	2021		1	FALSE	TRUE	4	Magnoliopsida	Plantae	220	6
9185677	Podarcis siculus	2021		1	FALSE	TRUE	4	Reptilia	Animalia	358	1
