taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
2873769	Acorus calamus	2026	19	Plantae
1031400	Ectopsocus briggsi	2026	12	Animalia
2984676	Pachysandra terminalis	2026	9	Plantae
3064669	Euphorbia myrsinites	2026	7	Plantae
2767271	Scilla luciliae	2026	5	Plantae
3083975	Corispermum pallasii	2025	44	Plantae
3172059	Veronica spicata	2025	41	Plantae
5384390	Amaranthus cruentus	2025	35	Plantae
3189828	Aesculus parviflora	2025	34	Plantae
4205640	Juglans mandshurica	2025	34	Plantae
2705953	Eleusine indica	2025	22	Plantae
7226776	Setaria verticillata var. verticillata	2025	20	Plantae
2092040	Pulvinaria regalis	2025	14	Animalia
4201695	Phedimus hybridus	2025	12	Plantae
4486365	Nysius huttoni	2025	12	Animalia
5362054	Crassula helmsii	2025	12	Plantae
2703670	Bromus inermis	2025	11	Plantae
2704523	Cortaderia selloana	2025	11	Plantae
2888437	Papaver orientale	2025	11	Plantae
2926572	Physostegia virginiana	2025	11	Plantae
4568269	Paralaoma servilis	2025	11	Animalia
2856920	Allium hollandicum	2025	10	Plantae
3138327	Carthamus tinctorius	2025	10	Plantae
3171952	Verbascum speciosum	2025	9	Plantae
5341540	Gilia achilleifolia	2025	9	Plantae
5415009	Linaria supina	2025	9	Plantae
2867631	Lemna turionifera	2025	8	Plantae
2767428	Puschkinia scilloides	2025	7	Plantae
2857697	Allium cepa	2025	7	Plantae
5355395	Spartium junceum	2025	7	Plantae
5365305	Potentilla norvegica	2025	7	Plantae
5568339	Dysphania pumilio	2025	7	Plantae
7224157	Pastinaca sativa subsp. sativa	2025	7	Plantae
2020779	Buchananiella continua	2025	6	Animalia
2149679	Holocnemus pluchei	2025	6	Animalia
2498035	Anser indicus	2025	6	Animalia
2702816	Echinochloa muricata	2025	6	Plantae
2926885	Satureja hortensis	2025	6	Plantae
3015457	Crataegus persimilis	2025	6	Plantae
3133938	Coreopsis lanceolata	2025	6	Plantae
3150935	Echinacea purpurea	2025	6	Plantae
4270548	Hordeum murinum subsp. leporinum (Link) Arcang.	2025	6	Plantae
8342911	Papaver setiferum	2025	6	Plantae
2498015	Tadorna ferruginea	2025	5	Animalia
2772666	Hyacinthus orientalis	2025	5	Plantae
2856037	Allium ampeloprasum	2025	5	Plantae
2888806	Scabiosa ochroleuca	2025	5	Plantae
2890972	Geranium wallichianum	2025	5	Plantae
2891677	Oxalis dillenii	2025	5	Plantae
