taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
2481936	Mycteria ibis	2026	22	Animalia
5415056	Forsythia suspensa	2026	18	Plantae
1873890	Cadra cautella	2026	15	Animalia
7339492	Rodgersia aesculifolia	2026	15	Plantae
8044946	Epimedium pinnatum	2026	14	Plantae
1247584	Stenopelmus rufinasus	2026	13	Animalia
2986132	Ribes divaricatum	2026	12	Plantae
5219702	Cavia porcellus	2026	11	Animalia
4497124	Andricus quercuscalicis	2026	6	Animalia
7262958	Acer monspessulanum	2026	6	Plantae
5299675	Tulipa gesneriana	2026	5	Plantae
9139578	Aulacaspis rosae	2026	5	Animalia
2000152	Periplaneta americana	2025	30	Animalia
5341187	Myosotis alpestris	2025	23	Plantae
6313089	Echinochloa crus-galli subsp. utilis (Ohwi & Yabuno) T.Koyama	2025	20	Plantae
7262908	Acer cappadocicum	2025	15	Plantae
4121791	Molinia arundinacea	2025	14	Plantae
2481670	Limnodromus scolopaceus	2025	13	Animalia
2705420	Eragrostis pectinacea	2025	13	Plantae
8069880	Falco rusticolus	2025	13	Animalia
5376309	Diplotaxis erucoides	2025	10	Plantae
4496869	Neuroterus saliens	2025	9	Animalia
4925890	Acer tataricum subsp. ginnala (Maxim.) Wesm.	2025	9	Plantae
5285074	Pinus wallichiana	2025	9	Plantae
5422556	Undaria pinnatifida	2025	9	Chromista
2454645	Python	2025	8	Animalia
4293134	Neoclytus acuminatus	2025	8	Animalia
1043717	Cryptolaemus montrouzieri	2025	7	Animalia
2479498	Polytelis anthopeplus	2025	7	Animalia
2498125	Anas carolinensis	2025	7	Animalia
1651430	Aedes albopictus	2025	6	Animalia
2455615	Pantherophis guttatus	2025	6	Animalia
2925351	Clerodendrum bungei	2025	6	Plantae
3138192	Eutrochium purpureum	2025	6	Plantae
6035638	Chenopodium probstii	2025	6	Plantae
2220312	Hemimysis anomala	2025	5	Animalia
2481110	Phoenicopterus chilensis	2025	5	Animalia
2498155	Mareca americana	2025	5	Animalia
2726539	Carex scoparia	2025	5	Plantae
2856681	Allium sativum	2025	5	Plantae
3129064	Centaurea macrocephala	2025	5	Plantae
4201688	Phedimus kamtschaticus	2025	5	Plantae
4362883	Cerithium vulgatum	2025	5	Animalia
5177089	Jaera istri	2025	5	Animalia
5330001	Dracunculus vulgaris	2025	5	Plantae
5384458	Gypsophila paniculata	2025	5	Plantae
5421116	Tribulus terrestris	2025	5	Plantae
3172099	Veronica austriaca	2024	37	Plantae
5354530	Chamaecytisus hirsutus	2024	36	Plantae
2945513	Cladrastis kentukea	2024	34	Plantae
5333408	Erica vagans	2024	32	Plantae
3034653	Chaerophyllum bulbosum	2024	27	Plantae
5232445	Branta sandvicensis	2024	26	Animalia
5341198	Anchusa azurea	2024	24	Plantae
3082274	Cornus kousa	2024	21	Plantae
3189836	Acer pensylvanicum	2024	17	Plantae
3054110	Aubrieta columnae	2024	15	Plantae
5361944	Broussonetia papyrifera	2024	15	Plantae
2480696	Neophron percnopterus	2024	13	Animalia
5341394	Perilla frutescens	2024	13	Plantae
2480800	Platalea alba	2024	12	Animalia
3767816	Acer japonicum	2024	12	Plantae
1830823	Prays citri	2024	11	Animalia
2747489	Crocus chrysanthus	2024	11	Plantae
5227966	Lophura nycthemera	2024	11	Animalia
5530829	Corydalis cheilanthifolia	2024	11	Plantae
5232422	Chloephaga melanoptera	2024	10	Animalia
5892120	Girardia tigrina	2024	10	Animalia
10714947	Oxybasis salina	2024	10	Plantae
2427555	Hyla meridionalis	2024	9	Animalia
3040232	Populus deltoides	2024	9	Plantae
3119185	Helianthus decapetalus	2024	9	Plantae
6391377	Rumex triangulivalvis	2024	9	Plantae
6391377	Rumex triangulivalvis	2024	9	Plantae
8350395	Cyclospermum leptophyllum	2024	9	Plantae
2762737	Musa basjoo	2024	8	Plantae
2888982	Rumex fueginus	2024	8	Plantae
