taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
2481156	Larus glaucoides	2026	13	Animalia
1719204	Gryllomorpha dalmatina	2025	43	Animalia
5359249	Trifolium rubens	2025	38	Plantae
5690287	Sedum cepaea	2025	35	Plantae
3033965	Akebia quinata	2025	26	Plantae
5383936	Bassia scoparia	2025	18	Plantae
1323402	Tetramorium bicarinatum	2025	17	Animalia
5384334	Amaranthus viridis	2025	17	Plantae
5660450	Pulmonaria rubra	2025	17	Plantae
3172613	Catalpa ovata	2025	16	Plantae
2706209	Pseudosasa japonica	2025	15	Plantae
8153538	Oenothera oehlkersii	2025	15	Plantae
2454645	Python	2025	13	Animalia
2465380	Python regius	2025	13	Animalia
3129064	Centaurea macrocephala	2025	13	Plantae
2888946	Rumex longifolius	2025	12	Plantae
2516809	Melampsoridium betulinum	2025	11	Fungi
1873890	Cadra cautella	2025	9	Animalia
2481959	Gavia arctica	2025	9	Animalia
3083647	Spinacia oleracea	2025	9	Plantae
9305555	Spatula versicolor	2025	9	Animalia
2985994	Hydrangea macrophylla	2025	8	Plantae
5229055	Psittacula eupatria	2025	8	Animalia
7738766	Miscanthus sacchariflorus	2025	8	Plantae
2479329	Platycercus eximius	2025	7	Animalia
3924221	Helleborus argutifolius	2025	7	Plantae
4470640	Carabus rutilans	2025	7	Animalia
8537667	Chondrilla juncea	2025	7	Plantae
2747750	Crocus luteus	2025	6	Plantae
1651430	Aedes albopictus	2025	5	Animalia
2498026	Anser erythropus	2025	5	Animalia
2700768	Luzula nivea	2025	5	Plantae
3022609	Prunus serrulata	2025	5	Plantae
3112361	Cynara scolymus	2025	5	Plantae
4206362	Onopordum beckianum	2025	5	Plantae
6409706	Salvia verbenaca	2025	5	Plantae
8255921	Pulvinaria floccifera	2025	5	Animalia
9073641	Camelina sativa	2024	40	Plantae
2888310	Orthilia secunda	2024	38	Plantae
3034653	Chaerophyllum bulbosum	2024	36	Plantae
5371889	Oenanthe pimpinelloides	2024	36	Plantae
9419993	Erodium moschatum	2024	22	Plantae
10095118	Microcarbo pygmaeus	2024	21	Animalia
2481744	Calidris melanotos	2024	18	Animalia
4205640	Juglans mandshurica	2024	18	Plantae
2188249	Varroa destructor	2024	14	Animalia
5410661	Campanula pyramidalis	2024	13	Plantae
5892120	Girardia tigrina	2024	13	Animalia
2747489	Crocus chrysanthus	2024	12	Plantae
5384950	Eclipta prostrata	2024	12	Plantae
5384818	Silene dichotoma	2024	9	Plantae
2986022	Philadelphus pubescens	2024	8	Plantae
5641274	Primula denticulata	2024	8	Plantae
2379245	Proterorhinus semilunaris	2024	7	Animalia
2484605	Bombycilla garrulus	2024	7	Animalia
2925527	Verbena hastata	2024	7	Plantae
3042416	Camelina microcarpa	2024	7	Plantae
5228034	Chrysolophus pictus	2024	7	Animalia
5289913	Polypogon maritimus	2024	7	Plantae
1043717	Cryptolaemus montrouzieri	2024	6	Animalia
2480764	Threskiornis aethiopicus	2024	6	Animalia
2706052	Hordeum jubatum	2024	6	Plantae
2705503	Glyceria striata	2024	5	Plantae
3105508	Andryala integrifolia	2024	5	Plantae
5587240	Silene vulgaris subsp. vulgaris	2024	5	Plantae
8323485	Haemorhous mexicanus	2024	5	Animalia
5410826	Campanula carpatica	2023	39	Plantae
7707872	Aconitum napellus subsp. lusitanicum Rouy	2023	36	Plantae
3022668	Prunus virginiana	2023	32	Plantae
7790614	Crataegus coccinea	2023	28	Plantae
5354707	Cytisus striatus	2023	24	Plantae
5415053	Forsythia viridissima	2023	19	Plantae
2703721	Bromus madritensis	2023	17	Plantae
7894250	Datura ferox	2023	17	Plantae
2426640	Pelophylax bedriagae	2023	16	Animalia
5402363	Dimorphotheca pluvialis	2023	15	Plantae
3084611	Mollugo verticillata	2023	12	Plantae
3026040	Cotoneaster suecicus	2023	11	Plantae
3189882	Acer palmatum	2023	11	Plantae
8183217	Salix gmelinii	2023	11	Plantae
8356787	Pourthiaea villosa	2023	10	Plantae
2891677	Oxalis dillenii	2023	8	Plantae
2975309	Vicia bithynica	2023	8	Plantae
6387003	Equisetum praealtum	2023	8	Plantae
10944522	Mummenhoffia alliacea	2023	8	Plantae
6409536	Ballota nigra subsp. nigra	2023	7	Plantae
2007665	Belonochilus numenius	2023	6	Animalia
2219863	Gammarus tigrinus	2023	6	Animalia
2498167	Anser caerulescens	2023	6	Animalia
2516075	Cumminsiella mirabilissima	2023	6	Fungi
3040232	Populus deltoides	2023	6	Plantae
4559541	Sinanodonta woodiana	2023	6	Animalia
5361762	Myriophyllum heterophyllum	2023	6	Plantae
5370006	Geum ternatum	2023	6	Plantae
6432925	Fraxinus angustifolia subsp. oxycarpa (M.Bieb. ex Willd.) Franco & Rocha Afonso	2023	6	Plantae
2882849	Vaccinium corymbosum	2023	5	Plantae
5284950	Picea omorika	2023	5	Plantae
3172059	Veronica spicata	2022	38	Plantae
5300102	Gagea pratensis	2022	37	Plantae
5366327	Potentilla montana	2022	35	Plantae
2943190	Caragana arborescens	2022	31	Plantae
3172348	Fraxinus pennsylvanica	2022	30	Plantae
7529533	Canna hybrida	2022	30	Plantae
2888706	Kolkwitzia amabilis	2022	29	Plantae
2971016	Melilotus indicus	2022	27	Plantae
5607452	Thymus citriodorus	2022	27	Plantae
3152264	Malvastrum americanum	2022	17	Plantae
7823743	Malva maroccana	2022	17	Plantae
3109117	Senecio squalidus	2022	16	Plantae
3171888	Lindernia dubia	2022	15	Plantae
2439270	Rattus rattus	2022	14	Animalia
7346090	Erythranthe moschata	2022	14	Plantae
3189883	Acer rubrum	2022	13	Plantae
3586046	Gladiolus hortulanus	2022	13	Plantae
3089154	Xanthium strumarium	2022	12	Plantae
5361888	Morus nigra	2022	12	Plantae
7925372	Cerastium maureri	2022	12	Plantae
5682465	Erica carnea	2022	11	Plantae
7358948	Lasius neglectus	2022	11	Animalia
1326634	Hypoponera punctatissima	2022	10	Animalia
2702822	Echinochloa frumentacea	2022	10	Plantae
2889010	Rumex cristatus	2022	10	Plantae
3152816	Platanus orientalis	2022	10	Plantae
9496048	Spatula hottentota	2022	10	Animalia
4497180	Andricus aries	2022	9	Animalia
5406741	Sida spinosa	2022	9	Plantae
2480989	Caracara plancus	2022	8	Animalia
3022203	Prunus fruticans	2022	8	Plantae
3064221	Euphorbia serpens	2022	8	Plantae
9078997	Saissetia oleae	2022	8	Animalia
2874621	Citrullus lanatus	2022	7	Plantae
2876049	Corylus maxima	2022	7	Plantae
2925767	Heliotropium europaeum	2022	7	Plantae
2932147	Solanum nitidibaccatum	2022	7	Plantae
3128228	Centaurea nigrescens	2022	7	Plantae
2716226	Cyperus esculentus	2022	6	Plantae
2874515	Cucurbita maxima	2022	6	Plantae
2925366	Clerodendrum trichotomum	2022	6	Plantae
5217334	Xenopus laevis	2022	6	Animalia
7905507	Amaranthus albus	2022	6	Plantae
2703231	Zizania latifolia	2022	5	Plantae
3121226	Artemisia biennis	2022	5	Plantae
4932232	Dactylis glomerata subsp. lobata (Drejer) H.Lindb.	2022	5	Plantae
8332019	Hordeum distichon	2022	5	Plantae
