class	kingdom	variable	year	area	n_emerging	n_total
Magnoliopsida	Plantae	occupancy	2018	Belgium	99	605
Aves	Animalia	occupancy	2018	Belgium	17	197
Insecta	Animalia	occupancy	2018	Belgium	17	61
Liliopsida	Plantae	occupancy	2018	Belgium	16	142
Pinopsida	Plantae	occupancy	2018	Belgium	9	27
Polypodiopsida	Plantae	occupancy	2018	Belgium	5	15
Actinopterygii	Animalia	occupancy	2018	Belgium	4	16
Mammalia	Animalia	occupancy	2018	Belgium	4	25
Reptilia	Animalia	occupancy	2018	Belgium	4	29
Bivalvia	Animalia	occupancy	2018	Belgium	3	7
Gastropoda	Animalia	occupancy	2018	Belgium	3	9
Arachnida	Animalia	occupancy	2018	Belgium	2	13
Malacostraca	Animalia	occupancy	2018	Belgium	2	22
Amphibia	Animalia	occupancy	2018	Belgium	1	11
Bryopsida	Plantae	occupancy	2018	Belgium	1	1
Hydrozoa	Animalia	occupancy	2018	Belgium	1	1
Jungermanniopsida	Plantae	occupancy	2018	Belgium	1	1
Polychaeta	Animalia	occupancy	2018	Belgium	1	4
	Animalia	occupancy	2018	Belgium	1	4
Agaricomycetes	Fungi	occupancy	2018	Belgium	0	1
Anthozoa	Animalia	occupancy	2018	Belgium	0	1
Ascidiacea	Animalia	occupancy	2018	Belgium	0	3
Clitellata	Animalia	occupancy	2018	Belgium	0	3
Demospongiae	Animalia	occupancy	2018	Belgium	0	1
Ginkgoopsida	Plantae	occupancy	2018	Belgium	0	1
Gymnolaemata	Animalia	occupancy	2018	Belgium	0	2
Hexanauplia	Animalia	occupancy	2018	Belgium	0	1
Maxillopoda	Animalia	occupancy	2018	Belgium	0	1
Monogenea	Animalia	occupancy	2018	Belgium	0	1
Pucciniomycetes	Fungi	occupancy	2018	Belgium	0	4
Tentaculata	Animalia	occupancy	2018	Belgium	0	1
Ustilaginomycetes	Fungi	occupancy	2018	Belgium	0	1
Magnoliopsida	Plantae	occupancy	2019	Belgium	118	605
Liliopsida	Plantae	occupancy	2019	Belgium	27	142
Aves	Animalia	occupancy	2019	Belgium	19	197
Insecta	Animalia	occupancy	2019	Belgium	13	61
Pinopsida	Plantae	occupancy	2019	Belgium	8	27
Gastropoda	Animalia	occupancy	2019	Belgium	4	9
Arachnida	Animalia	occupancy	2019	Belgium	3	13
Bivalvia	Animalia	occupancy	2019	Belgium	3	7
Mammalia	Animalia	occupancy	2019	Belgium	3	25
Reptilia	Animalia	occupancy	2019	Belgium	3	29
Actinopterygii	Animalia	occupancy	2019	Belgium	2	16
Polypodiopsida	Plantae	occupancy	2019	Belgium	2	15
Amphibia	Animalia	occupancy	2019	Belgium	1	11
Bryopsida	Plantae	occupancy	2019	Belgium	1	1
Hydrozoa	Animalia	occupancy	2019	Belgium	1	1
Malacostraca	Animalia	occupancy	2019	Belgium	1	22
Polychaeta	Animalia	occupancy	2019	Belgium	1	4
	Animalia	occupancy	2019	Belgium	1	4
Agaricomycetes	Fungi	occupancy	2019	Belgium	0	1
Anthozoa	Animalia	occupancy	2019	Belgium	0	1
Ascidiacea	Animalia	occupancy	2019	Belgium	0	3
Clitellata	Animalia	occupancy	2019	Belgium	0	3
Demospongiae	Animalia	occupancy	2019	Belgium	0	1
Ginkgoopsida	Plantae	occupancy	2019	Belgium	0	1
Gymnolaemata	Animalia	occupancy	2019	Belgium	0	2
Hexanauplia	Animalia	occupancy	2019	Belgium	0	1
Jungermanniopsida	Plantae	occupancy	2019	Belgium	0	1
Maxillopoda	Animalia	occupancy	2019	Belgium	0	1
Monogenea	Animalia	occupancy	2019	Belgium	0	1
Pucciniomycetes	Fungi	occupancy	2019	Belgium	0	4
Tentaculata	Animalia	occupancy	2019	Belgium	0	1
Ustilaginomycetes	Fungi	occupancy	2019	Belgium	0	1
Magnoliopsida	Plantae	occupancy	2020	Belgium	169	605
Liliopsida	Plantae	occupancy	2020	Belgium	38	142
Aves	Animalia	occupancy	2020	Belgium	24	197
Insecta	Animalia	occupancy	2020	Belgium	11	61
Reptilia	Animalia	occupancy	2020	Belgium	7	29
Mammalia	Animalia	occupancy	2020	Belgium	6	25
Pinopsida	Plantae	occupancy	2020	Belgium	6	27
Polypodiopsida	Plantae	occupancy	2020	Belgium	6	15
Gastropoda	Animalia	occupancy	2020	Belgium	4	9
Arachnida	Animalia	occupancy	2020	Belgium	3	13
Malacostraca	Animalia	occupancy	2020	Belgium	3	22
Amphibia	Animalia	occupancy	2020	Belgium	2	11
Bivalvia	Animalia	occupancy	2020	Belgium	2	7
Actinopterygii	Animalia	occupancy	2020	Belgium	1	16
Agaricomycetes	Fungi	occupancy	2020	Belgium	1	1
Ascidiacea	Animalia	occupancy	2020	Belgium	1	3
Bryopsida	Plantae	occupancy	2020	Belgium	1	1
Ginkgoopsida	Plantae	occupancy	2020	Belgium	1	1
Jungermanniopsida	Plantae	occupancy	2020	Belgium	1	1
Pucciniomycetes	Fungi	occupancy	2020	Belgium	1	4
Ustilaginomycetes	Fungi	occupancy	2020	Belgium	1	1
	Animalia	occupancy	2020	Belgium	1	4
Anthozoa	Animalia	occupancy	2020	Belgium	0	1
Clitellata	Animalia	occupancy	2020	Belgium	0	3
Demospongiae	Animalia	occupancy	2020	Belgium	0	1
Gymnolaemata	Animalia	occupancy	2020	Belgium	0	2
Hexanauplia	Animalia	occupancy	2020	Belgium	0	1
Hydrozoa	Animalia	occupancy	2020	Belgium	0	1
Maxillopoda	Animalia	occupancy	2020	Belgium	0	1
Monogenea	Animalia	occupancy	2020	Belgium	0	1
Polychaeta	Animalia	occupancy	2020	Belgium	0	4
Tentaculata	Animalia	occupancy	2020	Belgium	0	1
