class	kingdom	variable	year	area	n_emerging	n_total
Magnoliopsida	Plantae	occs	2020	Belgium	206	873
Insecta	Animalia	occs	2020	Belgium	45	182
Liliopsida	Plantae	occs	2020	Belgium	42	201
Aves	Animalia	occs	2020	Belgium	40	212
Pinopsida	Plantae	occs	2020	Belgium	9	35
Malacostraca	Animalia	occs	2020	Belgium	8	31
Polypodiopsida	Plantae	occs	2020	Belgium	8	20
Arachnida	Animalia	occs	2020	Belgium	7	26
Gastropoda	Animalia	occs	2020	Belgium	6	21
Testudines	Animalia	occs	2020	Belgium	6	14
Mammalia	Animalia	occs	2020	Belgium	4	31
Bivalvia	Animalia	occs	2020	Belgium	3	13
Bryopsida	Plantae	occs	2020	Belgium	2	2
Squamata	Animalia	occs	2020	Belgium	2	16
	Animalia	occs	2020	Belgium	2	25
Agaricomycetes	Fungi	occs	2020	Belgium	1	2
Chilopoda	Animalia	occs	2020	Belgium	1	1
Clitellata	Animalia	occs	2020	Belgium	1	6
Diplopoda	Animalia	occs	2020	Belgium	1	2
Jungermanniopsida	Plantae	occs	2020	Belgium	1	1
Phaeophyceae	Chromista	occs	2020	Belgium	1	2
Pucciniomycetes	Fungi	occs	2020	Belgium	1	5
Ustilaginomycetes	Fungi	occs	2020	Belgium	1	2
Amphibia	Animalia	occs	2020	Belgium	0	11
Anthozoa	Animalia	occs	2020	Belgium	0	1
Ascidiacea	Animalia	occs	2020	Belgium	0	4
Branchiopoda	Animalia	occs	2020	Belgium	0	1
Copepoda	Animalia	occs	2020	Belgium	0	1
Demospongiae	Animalia	occs	2020	Belgium	0	1
Ginkgoopsida	Plantae	occs	2020	Belgium	0	1
Gnetopsida	Plantae	occs	2020	Belgium	0	1
Gymnolaemata	Animalia	occs	2020	Belgium	0	2
Hydrozoa	Animalia	occs	2020	Belgium	0	2
Leotiomycetes	Fungi	occs	2020	Belgium	0	1
Maxillopoda	Animalia	occs	2020	Belgium	0	1
Monogenea	Animalia	occs	2020	Belgium	0	1
Phylactolaemata	Animalia	occs	2020	Belgium	0	1
Polychaeta	Animalia	occs	2020	Belgium	0	4
Tentaculata	Animalia	occs	2020	Belgium	0	1
Magnoliopsida	Plantae	occs	2021	Belgium	159	873
Liliopsida	Plantae	occs	2021	Belgium	52	201
Insecta	Animalia	occs	2021	Belgium	49	182
Aves	Animalia	occs	2021	Belgium	41	212
Pinopsida	Plantae	occs	2021	Belgium	11	35
Malacostraca	Animalia	occs	2021	Belgium	8	31
Arachnida	Animalia	occs	2021	Belgium	7	26
Polypodiopsida	Plantae	occs	2021	Belgium	7	20
Gastropoda	Animalia	occs	2021	Belgium	6	21
Testudines	Animalia	occs	2021	Belgium	6	14
Mammalia	Animalia	occs	2021	Belgium	4	31
