class	kingdom	variable	year	area	n_emerging	n_total
Magnoliopsida	Plantae	observations	2020	Natura2000	420	901
Insecta	Animalia	observations	2020	Natura2000	95	195
Liliopsida	Plantae	observations	2020	Natura2000	90	208
Aves	Animalia	observations	2020	Natura2000	71	225
Arachnida	Animalia	observations	2020	Natura2000	14	28
Gastropoda	Animalia	observations	2020	Natura2000	12	21
Malacostraca	Animalia	observations	2020	Natura2000	11	32
Mammalia	Animalia	observations	2020	Natura2000	10	31
Pinopsida	Plantae	observations	2020	Natura2000	10	35
Polypodiopsida	Plantae	observations	2020	Natura2000	10	20
Testudines	Animalia	observations	2020	Natura2000	8	15
	Animalia	observations	2020	Natura2000	7	25
Amphibia	Animalia	observations	2020	Natura2000	6	11
Bivalvia	Animalia	observations	2020	Natura2000	5	13
Squamata	Animalia	observations	2020	Natura2000	5	16
Ascidiacea	Animalia	observations	2020	Natura2000	3	4
Pucciniomycetes	Fungi	observations	2020	Natura2000	3	6
Bryopsida	Plantae	observations	2020	Natura2000	2	2
Clitellata	Animalia	observations	2020	Natura2000	2	6
Diplopoda	Animalia	observations	2020	Natura2000	2	3
Agaricomycetes	Fungi	observations	2020	Natura2000	1	2
Demospongiae	Animalia	observations	2020	Natura2000	1	2
Ginkgoopsida	Plantae	observations	2020	Natura2000	1	1
Gymnolaemata	Animalia	observations	2020	Natura2000	1	3
Hydrozoa	Animalia	observations	2020	Natura2000	1	2
Jungermanniopsida	Plantae	observations	2020	Natura2000	1	1
Monogenea	Animalia	observations	2020	Natura2000	1	1
Phaeophyceae	Chromista	observations	2020	Natura2000	1	2
Polychaeta	Animalia	observations	2020	Natura2000	1	4
Ustilaginomycetes	Fungi	observations	2020	Natura2000	1	2
Anthozoa	Animalia	observations	2020	Natura2000	0	1
Branchiopoda	Animalia	observations	2020	Natura2000	0	1
Chilopoda	Animalia	observations	2020	Natura2000	0	1
Copepoda	Animalia	observations	2020	Natura2000	0	1
Gnetopsida	Plantae	observations	2020	Natura2000	0	1
Leotiomycetes	Fungi	observations	2020	Natura2000	0	1
Maxillopoda	Animalia	observations	2020	Natura2000	0	1
Phylactolaemata	Animalia	observations	2020	Natura2000	0	1
Tentaculata	Animalia	observations	2020	Natura2000	0	1
Magnoliopsida	Plantae	observations	2021	Natura2000	403	901
Liliopsida	Plantae	observations	2021	Natura2000	86	208
Insecta	Animalia	observations	2021	Natura2000	85	195
Aves	Animalia	observations	2021	Natura2000	73	225
Gastropoda	Animalia	observations	2021	Natura2000	15	21
Arachnida	Animalia	observations	2021	Natura2000	13	28
Polypodiopsida	Plantae	observations	2021	Natura2000	13	20
Malacostraca	Animalia	observations	2021	Natura2000	10	32
Pinopsida	Plantae	observations	2021	Natura2000	9	35
Mammalia	Animalia	observations	2021	Natura2000	8	31
	Animalia	observations	2021	Natura2000	7	25
Amphibia	Animalia	observations	2021	Natura2000	6	11
Testudines	Animalia	observations	2021	Natura2000	6	15
Bivalvia	Animalia	observations	2021	Natura2000	5	13
Squamata	Animalia	observations	2021	Natura2000	4	16
Ascidiacea	Animalia	observations	2021	Natura2000	3	4
Pucciniomycetes	Fungi	observations	2021	Natura2000	3	6
Bryopsida	Plantae	observations	2021	Natura2000	2	2
Clitellata	Animalia	observations	2021	Natura2000	2	6
Diplopoda	Animalia	observations	2021	Natura2000	2	3
Agaricomycetes	Fungi	observations	2021	Natura2000	1	2
Chilopoda	Animalia	observations	2021	Natura2000	1	1
Demospongiae	Animalia	observations	2021	Natura2000	1	2
Ginkgoopsida	Plantae	observations	2021	Natura2000	1	1
Gymnolaemata	Animalia	observations	2021	Natura2000	1	3
